,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
3801,MLB1774978958,https://produto.mercadolivre.com.br/MLB-1774978958-tampa-de-radiador-suzuki-sidekick-1989-em-diante-_JM#position=2&search_layout=stack&type=item&tracking_id=68bd418e-2139-4fab-8a22-cb9749cd065c,Tampa De Radiador Suzuki Sidekick - 1989 Em Diante,"R$129,53",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,OK
3802,MLB1943463482,https://produto.mercadolivre.com.br/MLB-1943463482-tampa-radiador-subaru-legacy-1999-2000-93-94-95-96-97-98-_JM#position=8&search_layout=stack&type=item&tracking_id=68bd418e-2139-4fab-8a22-cb9749cd065c,,,,,,,,OK
3803,MLB1940417596,https://produto.mercadolivre.com.br/MLB-1940417596-tampa-radiador-santa-fe-2011-2012-2013-2014-2015-11-12-13-14-_JM#position=3&search_layout=stack&type=item&tracking_id=aa02a0c3-d6df-40fe-8989-162f48922991,Tampa Radiador Santa Fé 2011 2012 2013 2014 2015 11 12 13 14,"R$139,18",Ver os meios de pagamento,0.0,Subaru,Não tem,524-280,OK
3804,MLB2026244066,https://produto.mercadolivre.com.br/MLB-2026244066-tampa-de-radiador-toyota-camry-30-1992-e-1993-_JM#position=2&search_layout=stack&type=item&tracking_id=dc0afbd5-876b-4206-9136-2a783bc3d9f2,Tampa De Radiador Toyota Camry 3.0 - 1992 E 1993,"R$146,53",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,OK
3805,MLB2019462533,https://produto.mercadolivre.com.br/MLB-2019462533-tampa-do-radiador-alta-09-libras-subaru-impreza-18-1993-99-_JM#position=7&search_layout=stack&type=item&tracking_id=7deee55f-a38f-4ba2-809a-9927a766aabf,Tampa Do Radiador Alta 0.9 Libras Subaru Impreza 1.8 1993-99,"R$149,22",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,0K.202.15.205 45113GA021 19045-P36-004 19045-PM3-004 25330-33001 25330-33101 1350A730 45113ga020,OK
3806,MLB2065643500,https://produto.mercadolivre.com.br/MLB-2065643500-tampa-do-radiador-alta-09-libras-subaru-impreza-18-1993-99-_JM#position=11&search_layout=stack&type=item&tracking_id=7deee55f-a38f-4ba2-809a-9927a766aabf,,,,,,,,OK
3807,MLB2019452259,https://produto.mercadolivre.com.br/MLB-2019452259-tampa-do-radiador-subaru-impreza-legacy-forester-_JM#position=6&search_layout=stack&type=item&tracking_id=75feb7b5-ed4a-406d-9976-93eff8af42ed,Tampa Do Radiador Subaru Impreza Legacy Forester,"R$155,44",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,R-5023,FAZER
3808,MLB2068888051,https://produto.mercadolivre.com.br/MLB-2068888051-tampa-do-radiador-subaru-impreza-legacy-forester-_JM#position=11&search_layout=stack&type=item&tracking_id=75feb7b5-ed4a-406d-9976-93eff8af42ed,,,,,,,,FAZER
3809,MLB1978866232,https://produto.mercadolivre.com.br/MLB-1978866232-tampa-do-radiador-alta-subaru-outback-25-apos-2015-_JM#position=8&search_layout=stack&type=item&tracking_id=4d09cb54-548c-4dcd-87e4-79889fa634c7,Tampa Do Radiador Alta Subaru Outback 2.5 Após 2015,"R$157,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,FS2015205 16401-15520 45137AE002 MR968532 253303Z000 253303K000 253303E000 25330-2D500 214301p111 21430-74N02 19045-PY3-013 19045-P08-013 1792065G50 17920-66F01 1640162090,FAZER
3810,MLB2061353514,https://produto.mercadolivre.com.br/MLB-2061353514-tampa-do-radiador-alta-subaru-outback-25-apos-2015-_JM#position=10&search_layout=stack&type=item&tracking_id=4d09cb54-548c-4dcd-87e4-79889fa634c7,Tampa Do Radiador Alta Subaru Outback 2.5 Após 2015,"R$157,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,FS2015205 16401-15520 45137AE002 MR968532 253303Z000 253303K000 253303E000 25330-2D500 214301p111 21430-74N02 19045-PY3-013 19045-P08-013 1792065G50 17920-66F01 1640162090,FAZER
3811,MLB2068881879,https://produto.mercadolivre.com.br/MLB-2068881879-tampa-do-radiador-alta-subaru-forester-20-2002-a-2005-_JM#position=17&search_layout=stack&type=item&tracking_id=4d09cb54-548c-4dcd-87e4-79889fa634c7,,,,,,,,FAZER
3812,MLB1978864659,https://produto.mercadolivre.com.br/MLB-1978864659-tampa-radiador-subaru-impreza-1998-1999-2000-92-93-94-95-96-_JM#position=23&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador Subaru Impreza 1998 1999 2000 92 93 94 95 96,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3813,MLB1981475267,https://produto.mercadolivre.com.br/MLB-1981475267-tampa-radiador-subaru-legacy-1999-2000-93-94-95-96-97-98-_JM#position=24&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador - Subaru Legacy 1999 2000 93 94 95 96 97 98,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3814,MLB2019436500,https://produto.mercadolivre.com.br/MLB-2019436500-tampa-radiador-subaru-legacy-1993-1994-1995-1996-1997-1998-_JM#position=25&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador - Subaru Legacy 1993 1994 1995 1996 1997 1998,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3815,MLB2019441253,https://produto.mercadolivre.com.br/MLB-2019441253-tampa-radiador-subaru-forester-1998-1999-2000-2001-98-99-00-_JM#position=26&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador Subaru Forester 1998 1999 2000 2001 98 99 00,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,F83/26083,FAZER
3816,MLB2019441343,https://produto.mercadolivre.com.br/MLB-2019441343-tampa-radiador-subaru-impreza-1992-1993-1994-1995-1996-1997-_JM#position=27&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador Subaru Impreza 1992 1993 1994 1995 1996 1997,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3817,MLB2063191095,https://produto.mercadolivre.com.br/MLB-2063191095-tampa-radiador-subaru-impreza-1998-1999-2000-92-93-94-95-96-_JM#position=30&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador Subaru Impreza 1998 1999 2000 92 93 94 95 96,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3818,MLB2064330473,https://produto.mercadolivre.com.br/MLB-2064330473-tampa-radiador-subaru-legacy-1999-2000-93-94-95-96-97-98-_JM#position=31&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador - Subaru Legacy 1999 2000 93 94 95 96 97 98,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,524-280,FAZER
3819,MLB2068273283,https://produto.mercadolivre.com.br/MLB-2068273283-tampa-radiador-subaru-forester-1998-1999-2000-2001-98-99-00-_JM#position=34&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,Tampa Radiador Subaru Forester 1998 1999 2000 2001 98 99 00,R$160,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,F83/26083,FAZER
3820,MLB2068924404,https://produto.mercadolivre.com.br/MLB-2068924404-tampa-radiador-subaru-forester-1998-1999-2000-2001-98-99-00-_JM#position=47&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,,,,,,,,FAZER
3821,MLB2068960933,https://produto.mercadolivre.com.br/MLB-2068960933-tampa-radiador-subaru-legacy-1993-1994-1995-1996-1997-1998-_JM#position=48&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,,,,,,,,FAZER
3822,MLB2068973023,https://produto.mercadolivre.com.br/MLB-2068973023-tampa-radiador-subaru-impreza-1992-1993-1994-1995-1996-1997-_JM#position=49&search_layout=stack&type=item&tracking_id=6c2eddae-dff2-472d-ba35-272b043b06be,,,,,,,,FAZER
3823,MLB1971241243,https://produto.mercadolivre.com.br/MLB-1971241243-tampa-de-radiador-toyota-camry-30-1992-e-1993-_JM#position=8&search_layout=stack&type=item&tracking_id=b443046c-2738-4332-8124-5b53e8e69f94,Tampa De Radiador Toyota Camry 3.0 - 1992 E 1993,"R$181,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,FAZER
3824,MLB1981462019,https://produto.mercadolivre.com.br/MLB-1981462019-tampa-de-radiador-honda-civic-1992-em-diante-_JM#position=9&search_layout=stack&type=item&tracking_id=b443046c-2738-4332-8124-5b53e8e69f94,Tampa De Radiador Honda Civic - 1992 Em Diante,"R$181,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,FAZER
3825,MLB1981462022,https://produto.mercadolivre.com.br/MLB-1981462022-tampa-de-radiador-suzuki-sidekick-1989-em-diante-_JM#position=10&search_layout=stack&type=item&tracking_id=b443046c-2738-4332-8124-5b53e8e69f94,Tampa De Radiador Suzuki Sidekick - 1989 Em Diante,"R$181,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,FAZER
3826,MLB2064324550,https://produto.mercadolivre.com.br/MLB-2064324550-tampa-de-radiador-suzuki-sidekick-1989-em-diante-_JM#position=31&search_layout=stack&type=item&tracking_id=b443046c-2738-4332-8124-5b53e8e69f94,Tampa De Radiador Suzuki Sidekick - 1989 Em Diante,"R$181,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Honda Suzuki Toyota Nissan Subaru,26086,FAZER
3827,MLB2068943254,https://produto.mercadolivre.com.br/MLB-2068943254-tampa-de-radiador-honda-crv-_JM#position=41&search_layout=stack&type=item&tracking_id=b443046c-2738-4332-8124-5b53e8e69f94,,,,,,,,FAZER
3828,MLB2035941991,https://produto.mercadolivre.com.br/MLB-2035941991-tampa-do-radiador-13-lbs-93-99-subaru-impreza-18-22-25-_JM#position=1&search_layout=stack&type=item&tracking_id=77c19f80-26e2-4c61-a308-de7a785d6965,Tampa Do Radiador 13 Lbs 93-99 Subaru Impreza 1.8\ 2.2\ 2.5,"R$210,30",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,TR9502,FAZER
3829,MLB1799991398,https://produto.mercadolivre.com.br/MLB-1799991398-tampa-do-radiador-13-lbs-93-99-subaru-impreza-18-22-25-_JM#position=3&search_layout=stack&type=item&tracking_id=b4b27ed0-5277-4848-9ad5-e54c92f4dd00,,,,,,,,FAZER
3830,MLB1978834849,https://produto.mercadolivre.com.br/MLB-1978834849-tampa-do-radiador-13-lbs-93-99-subaru-impreza-18-22-25-_JM#position=8&search_layout=stack&type=item&tracking_id=b4b27ed0-5277-4848-9ad5-e54c92f4dd00,Tampa Do Radiador 13 Lbs 93-99 Subaru Impreza 1.8\ 2.2\ 2.5,R$220,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,TR9502,FAZER
3831,MLB2002359105,https://produto.mercadolivre.com.br/MLB-2002359105-tampa-do-radiador-13-lbs-1990-1999-subaru-legacy-22-25-_JM#position=9&search_layout=stack&type=item&tracking_id=b4b27ed0-5277-4848-9ad5-e54c92f4dd00,Tampa Do Radiador 13 Lbs 1990-1999 Subaru Legacy 2.2 \ 2.5,R$220,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,TR9502,FAZER
3832,MLB2063092117,https://produto.mercadolivre.com.br/MLB-2063092117-tampa-do-radiador-13-lbs-93-99-subaru-impreza-18-22-25-_JM#position=10&search_layout=stack&type=item&tracking_id=b4b27ed0-5277-4848-9ad5-e54c92f4dd00,Tampa Do Radiador 13 Lbs 93-99 Subaru Impreza 1.8\ 2.2\ 2.5,R$220,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,TR9502,FAZER
