,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
4117,MLB2037527990,https://produto.mercadolivre.com.br/MLB-2037527990-tampa-radiador-524263-corolla-2002-2003-2004-_JM#position=13&search_layout=stack&type=item&tracking_id=e0226bcd-1c5d-4bbe-8dd1-1efd06fc09f2,,,,,,,,OK
4118,MLB2037528037,https://produto.mercadolivre.com.br/MLB-2037528037-tampa-radiador-524263-hilux-2010-2011-2012-_JM#position=14&search_layout=stack&type=item&tracking_id=e0226bcd-1c5d-4bbe-8dd1-1efd06fc09f2,,,,,,,,OK
4119,MLB2037534411,https://produto.mercadolivre.com.br/MLB-2037534411-tampa-radiador-524263-corolla-2011-2012-2013-_JM#position=16&search_layout=stack&type=item&tracking_id=e0226bcd-1c5d-4bbe-8dd1-1efd06fc09f2,,,,,,,,OK
4120,MLB2037547290,https://produto.mercadolivre.com.br/MLB-2037547290-tampa-radiador-524263-corolla-2008-2009-2010-_JM#position=17&search_layout=stack&type=item&tracking_id=e0226bcd-1c5d-4bbe-8dd1-1efd06fc09f2,,,,,,,,OK
4121,MLB2004425286,https://produto.mercadolivre.com.br/MLB-2004425286-tampa-do-reservatorio-de-agua-parabrisa-corolla-2003-a-2008-_JM#position=1&search_layout=stack&type=item&tracking_id=50e99a5b-aa21-45f7-9782-49302182f2d3,Tampa Do Reservatório De Água Parabrisa Corolla 2003 A 2008,R$38,Ver os meios de pagamento,0.0,Toyota,Não tem,8531602130,FAZER
4122,MLB2061799609,https://produto.mercadolivre.com.br/MLB-2061799609-tampa-reservatorio-radiador-toyotahillux-sw4-fl26085-_JM#position=13&search_layout=stack&type=item&tracking_id=71898e24-4f54-407d-aff9-77daecf56f50,Tampa Reservatorio Radiador Toyota/hillux Sw4 - Fl26.085,"R$38,30",Ver os meios de pagamento,0.0,Florio,Não tem,FL26085 - TAMPA RADIADOR (MITSUBISHI) PAJERO SPORT (TOYOTA) CAMRY 2.2 92> (TOYOTA) COROLLA 93> (TOYOTA) FIELDER 05> (TOYOTA) HILUX SW4,FAZER
4123,MLB1215005283,https://produto.mercadolivre.com.br/MLB-1215005283-tampa-do-radiador-toyota-hilux-4x24x4-2830-aspirada-_JM#position=13&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Do Radiador Toyota Hilux 4x2/4x4 2.8/3.0 Aspirada,R$40,Ver os meios de pagamento,0.0,PRIMEIRA LINHA,Não tem,9973,FAZER
4124,MLB1537824827,https://produto.mercadolivre.com.br/MLB-1537824827-tampa-do-radiador-7-lbs-toyota-bandeirantes-1962-ate-2001-_JM#position=15&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Do Radiador 7 Lbs Toyota Bandeirantes 1962 Até 2001,"R$39,80",Ver os meios de pagamento,0.0,PATRAL,Não tem,BC7C8100A,FAZER
4125,MLB1740997174,https://produto.mercadolivre.com.br/MLB-1740997174-tampa-radiador-09-toyota-corolla-1983-1992-promoco-_JM#position=24&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Corolla 1983 À 1992 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
4126,MLB1945938719,https://produto.mercadolivre.com.br/MLB-1945938719-tampa-radiador-09-bar-toyota-corolla-92-00-hilux-apos-15-_JM#position=26&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Bar Toyota Corolla 92 À 00 Hilux Após 15,"R$39,23",Ver os meios de pagamento,0.0,Unick,Não tem,OK.20.152.05,FAZER
4127,MLB1741002775,https://produto.mercadolivre.com.br/MLB-1741002775-tampa-radiador-09-toyota-previa-ate-1991-promoco-_JM#position=29&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Previa Até 1991 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
4128,MLB1741007949,https://produto.mercadolivre.com.br/MLB-1741007949-tampa-radiador-09-toyota-corolla-1983-1992-promoco-_JM#position=30&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Corolla 1983 À 1992 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
4129,MLB1741000904,https://produto.mercadolivre.com.br/MLB-1741000904-tampa-radiador-09-toyota-camry-1983-1992-promoco-_JM#position=32&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Camry 1983 À 1992 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
4130,MLB1741000906,https://produto.mercadolivre.com.br/MLB-1741000906-tampa-radiador-09-toyota-previa-ate-1991-promoco-_JM#position=33&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Previa Até 1991 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
4131,MLB1741001156,https://produto.mercadolivre.com.br/MLB-1741001156-tampa-radiador-09-toyota-camry-1983-1992-promoco-_JM#position=34&search_layout=stack&type=item&tracking_id=9bb6b591-166b-49ec-8653-a98ca579f4d1,Tampa Radiador 0.9 Toyota Camry 1983 À 1992 - Promoção,"R$39,15",Ver os meios de pagamento,0.0,MOTORS VANS,TAMPA DO RADIADOR 0.9,OK202.15205,FAZER
