,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
0,MLB1912013158,https://produto.mercadolivre.com.br/MLB-1912013158-tampa-reservatorio-radiador-clio-2000-2001-2002-2003-a-2016-_JM#position=38&search_layout=stack&type=item&tracking_id=8026eb99-ca7b-4afd-91ed-4f0f466c8df0,Tampa Reservatório Radiador Clio 2000 2001 2002 2003 A 2016,"R$122,72",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,F753,OK
1,MLB1952833829,https://produto.mercadolivre.com.br/MLB-1952833829-tampa-do-radiador-power-mx-beta-250300350450-sheco-300-_JM?searchVariation=91544616869#searchVariation=91544616869&position=20&search_layout=stack&type=item&tracking_id=0b15ae88-0a84-495e-a08c-192ffbe22592,Tampa Do Radiador Power Mx Beta 250/300/350/450 Sheco 300,"R$126,84",Ver os meios de pagamento,0.0,Power Mx,Não tem,05220INP,OK
2,MLB1969241790,https://produto.mercadolivre.com.br/MLB-1969241790-tampa-resevatorio-agua-radiador-frontier-28-mwm-2001-_JM#position=23&search_layout=stack&type=item&tracking_id=45e1611b-524f-4f1e-83f3-db116e33c0f2,Tampa Resevatorio Agua Radiador Frontier 2.8 Mwm 2001\...,R$152,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,720028,OK
3,MLB2065473626,https://produto.mercadolivre.com.br/MLB-2065473626-tampa-radiador-11-bar-suzuki-swift-1995-_JM#position=23&search_layout=stack&type=item&tracking_id=504cfd76-9364-4706-8c42-f921cb3f08d9,"Tampa Radiador 1,1 Bar Suzuki Swift 1995",R$174,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,15881,OK
4,MLB2027756656,https://produto.mercadolivre.com.br/MLB-2027756656-tampa-do-reservatorio-ramcherokeewrangler-52079331-_JM#position=46&search_layout=stack&type=item&tracking_id=9e8f3356-367a-4aae-980c-a186df0f4f19,"Tampa Do Reservatorio Ram,cherokee,wrangler 52079331","R$179,90","Tampa Do Reservatorio Ram,cherokee,wrangler 52079331",0.0,Mopar,Não tem,52079331,OK
5,MLB1896928203,https://produto.mercadolivre.com.br/MLB-1896928203-tampa-radiador-omega-australiano-_JM#position=13&search_layout=stack&type=item&tracking_id=eb35aea5-364c-4b3a-a622-bce9cfad592a,Tampa Radiador Omega Australiano,R$185,21 vendidos,0.0,Clic,Não tem,Não tem,OK
6,MLB1107792548,https://produto.mercadolivre.com.br/MLB-1107792548-tampa-de-arrefecimento-uno-todos-10-bar-ducato-prmio-palio-_JM#position=44&search_layout=stack&type=item&tracking_id=26869b75-207f-4e06-974e-ed7605ed3049,"Tampa De Arrefecimento Uno Todos 1,0 Bar Ducato Prêmio Palio","R$19,95",6 vendidos,0.0,Fiat,Não tem,51784095,OK
7,MLB2034807115,https://produto.mercadolivre.com.br/MLB-2034807115-tampa-reservatorio-agua-2012-2017-chevrolet-cobalt-18-_JM#position=49&search_layout=stack&type=item&tracking_id=2f43253d-9921-4d73-bc23-95f740fa99f0,Tampa Reservatório Água 2012-2017 Chevrolet Cobalt 1.8,R$225,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,15724D,OK
8,MLB2063147103,https://produto.mercadolivre.com.br/MLB-2063147103-tampa-reservatorio-agua-radiador-mercedes-classe-a200-20062-_JM#position=31&search_layout=stack&type=item&tracking_id=14409096-0833-4586-8243-d5b942ca1bc8,Tampa Reservatorio Água Radiador Mercedes Classe A200 2006\2,"R$227,80",Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,0710090,OK
9,MLB2063102101,https://produto.mercadolivre.com.br/MLB-2063102101-tampa-do-reservatorio-2012-2015-range-rover-evoque-20-turbo-_JM#position=47&search_layout=stack&type=item&tracking_id=65e9f2ce-f84c-466b-892b-634f238936cc,Tampa Do Reservatório 2012-2015 Range Rover Evoque 2.0 Turbo,R$230,Ver os meios de pagamento,0.0,VERIFICAR PERGUNTA,Não tem,TR4024,OK
10,MLB2063517702,https://produto.mercadolivre.com.br/MLB-2063517702-tampa-reservatorio-expansao-frontier-25-0816-21430d999c-_JM#position=14&search_layout=stack&type=item&tracking_id=8411e74e-990f-4c98-888f-968a9d5f8e66,Tampa Reservatorio Expansao Frontier 2.5 08/16 21430d999c,"R$379,99",Tampa Reservatorio Expansao Frontier 2.5 08/16 21430d999c,0.0,Nissan,Não tem,21430D999C / 21430 D999C / 21430-D999C,OK
11,MLB2063520632,https://produto.mercadolivre.com.br/MLB-2063520632-tampa-reservatorio-agua-frontier-25-2008-a-2016-21430d999c-_JM#position=16&search_layout=stack&type=item&tracking_id=8411e74e-990f-4c98-888f-968a9d5f8e66,Tampa Reservatorio Agua Frontier 2.5 2008 A 2016 21430d999c,"R$379,99",Tampa Reservatorio Agua Frontier 2.5 2008 A 2016 21430d999c,0.0,Nissan,Não tem,21430D999C / 21430 D999C / 21430-D999C,OK
12,MLB2063491662,https://produto.mercadolivre.com.br/MLB-2063491662-tampa-reservatorio-agua-radiador-frontier-25-sel-21430d999c-_JM#position=13&search_layout=stack&type=item&tracking_id=2b52bb83-d45b-4ab9-a56b-ed3f32ac1114,Tampa Reservatorio Agua Radiador Frontier 2.5 Sel 21430d999c,"R$399,99",Tampa Reservatorio Agua Radiador Frontier 2.5 Sel 21430d999c,0.0,Nissan,Não tem,21430D999C / 21430 D999C / 21430-D999C,OK
13,MLB2063498176,https://produto.mercadolivre.com.br/MLB-2063498176-tampa-reservatorio-agua-com-valvula-frontier-25-21430d999c-_JM#position=16&search_layout=stack&type=item&tracking_id=2b52bb83-d45b-4ab9-a56b-ed3f32ac1114,Tampa Reservatorio Agua Com Valvula Frontier 2.5 21430d999c,"R$399,99",Tampa Reservatorio Agua Com Valvula Frontier 2.5 21430d999c,0.0,Nissan,Não tem,21430D999C / 21430 D999C / 21430-D999C,OK
14,MLB2075302046,https://produto.mercadolivre.com.br/MLB-2075302046-tampa-reservatorio-agua-99610644703-_JM#position=16&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
15,MLB2075302048,https://produto.mercadolivre.com.br/MLB-2075302048-tampa-reservatorio-agua-porsche-911-coupe-36-gt2-rs-10-12-_JM#position=17&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
16,MLB2075302056,https://produto.mercadolivre.com.br/MLB-2075302056-tampa-reservatorio-agua-porsche-911-36-carrera-4-05-08-_JM#position=18&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
17,MLB2075302088,https://produto.mercadolivre.com.br/MLB-2075302088-tampa-reservatorio-agua-porsche-911-coupe-36-turbo-4s-03-05-_JM#position=19&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
18,MLB2075302092,https://produto.mercadolivre.com.br/MLB-2075302092-tampa-reservatorio-agua-porsche-911-coupe-38-gt3-rs-09-11-_JM#position=20&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
19,MLB2075307461,https://produto.mercadolivre.com.br/MLB-2075307461-tampa-reservatorio-agua-porsche-911-cabrio-34-carrera-01-05-_JM#position=21&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
20,MLB2075307490,https://produto.mercadolivre.com.br/MLB-2075307490-tampa-reservatorio-agua-porsche-911-38-carrera-s-05-08-_JM#position=22&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
21,MLB2075307494,https://produto.mercadolivre.com.br/MLB-2075307494-tampa-reservatorio-agua-porsche-911-coupe-36-turbo-4-00-05-_JM#position=23&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
22,MLB2075307499,https://produto.mercadolivre.com.br/MLB-2075307499-tampa-reservatorio-agua-porsche-boxter-spyder-987-10-11-_JM#position=24&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
23,MLB2075307503,https://produto.mercadolivre.com.br/MLB-2075307503-tampa-reservatorio-agua-37520-_JM#position=25&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
24,MLB2075307516,https://produto.mercadolivre.com.br/MLB-2075307516-tampa-reservatorio-agua-porsche-911-coupe-36-turbo-06-09-_JM#position=26&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
25,MLB2075307518,https://produto.mercadolivre.com.br/MLB-2075307518-tampa-reservatorio-agua-porsche-cayman-r-34-2010-2012-_JM#position=27&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
26,MLB2075307524,https://produto.mercadolivre.com.br/MLB-2075307524-tampa-reservatorio-agua-porsche-boxster-27-2002-2004-_JM#position=28&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
27,MLB2075307536,https://produto.mercadolivre.com.br/MLB-2075307536-tampa-reservatorio-agua-porsche-911-coupe-36-s-2004-2005-_JM#position=29&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
28,MLB2075307548,https://produto.mercadolivre.com.br/MLB-2075307548-tampa-reservatorio-agua-porsche-911-coupe-36-carrera-08-11-_JM#position=30&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
29,MLB2075307560,https://produto.mercadolivre.com.br/MLB-2075307560-tampa-reservatorio-agua-porsche-911-38-carrera-4-gts-09-12-_JM#position=31&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
30,MLB2075307571,https://produto.mercadolivre.com.br/MLB-2075307571-tampa-reservatorio-agua-porsche-boxster-986-s-32-1999-02-_JM#position=32&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
31,MLB2075307572,https://produto.mercadolivre.com.br/MLB-2075307572-tampa-reservatorio-agua-porsche-911-38-carrera-s-08-11-_JM#position=33&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
32,MLB2075307573,https://produto.mercadolivre.com.br/MLB-2075307573-tampa-reservatorio-agua-porsche-911-34-carrera-4-98-01-_JM#position=34&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
33,MLB2075307585,https://produto.mercadolivre.com.br/MLB-2075307585-tampa-reservatorio-agua-996-106-447-04-_JM#position=35&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
34,MLB2075307604,https://produto.mercadolivre.com.br/MLB-2075307604-tampa-reservatorio-agua-porsche-boxster-s-32-2002-2004-_JM#position=36&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
35,MLB2075312313,https://produto.mercadolivre.com.br/MLB-2075312313-tampa-reservatorio-agua-porsche-911-targa-997-2006-2012-_JM#position=37&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
36,MLB2075312335,https://produto.mercadolivre.com.br/MLB-2075312335-tampa-reservatorio-agua-porsche-911-coupe-38-turbo-09-12-_JM#position=38&search_layout=stack&type=item&tracking_id=36b99612-97f5-4b1b-baea-89c39ae02666,,,,,,,,FAZER
