,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Jogo Vela Ignição Bosch Nissan March 1.6 16v 2012 A 2016,R$329,Novo,1,Bosch,Double Platinum,VR7SPP33,0 242 135 524,4,https://produto.mercadolivre.com.br/MLB-1155856879-jogo-vela-ignico-bosch-nissan-march-16-16v-2012-a-2016-_JM?searchVariation=32947725094#searchVariation=32947725094&position=37&search_layout=stack&type=item&tracking_id=e980078a-6b82-45ba-8952-7f9efbc91ea2
1,Kit Jogo 4 Velas Fit 1.5 16v 2008 2009 2010 2011 Flex Bosch,"R$349,51",Novo,0,Bosch,Iridium duplo,Honda Fit 1.5 16V 2008 2009 2010 2011 2012 2013 2014,242240691 / 242240691 / 242240691 / 242240691,4,https://produto.mercadolivre.com.br/MLB-1670454191-kit-jogo-4-velas-fit-15-16v-2008-2009-2010-2011-flex-bosch-_JM#position=41&search_layout=stack&type=item&tracking_id=e980078a-6b82-45ba-8952-7f9efbc91ea2
2,Vela Aquecedora Hyundai Galloper H1 H100 Mitsubishi L200,"R$33,23",Novo,238,Mando,Não tem linha,Não tem modelo,MB5213,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1052982476-vela-aquecedora-hyundai-galloper-h1-h100-mitsubishi-l200-_JM#position=16&search_layout=stack&type=item&tracking_id=9b21f821-21b8-4f64-b702-ab4ee801edbb
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=1xqPtigUTRW6hMWYR0q1cG0RLPgUXqvWu6h3r51mHyWhvLHvJg2rYnPMiCKTqUfyjtP36wdPi%2BPech5SXhR9eiLRaq6DEE5oiqCr7wLoGaY86CW7tZwwhBP7Fu%2FPcxH5Ie%2FACH4SChjFhziY%2FU8xdTt2eUpEkhJOQEIfIYohFIe46NV2ggYNvda%2Bzok9nwBzTgH1f%2BIytPc7JXB73vIedZjX%2B2AOfc2q1LLrHyzUTtAEP9fvHy9IuuB2Hhk3lncBMTkr6EcR%2B77OAbgd%2BF7hzWwPvW5okg5afHsFwUH01CfSKsWRE5Mp8BeMvFljtFlvzh7ICGyETen%2FlK1JW8MWLyVrGjnasx9cPTJ3Y1CC6UzO9E41dec8OUnFoTPIz%2FndTGFlIsdKt07aVWwSjerLBs14RAmpXmvWkHDeyjPw9eT1DEmogVdpaUSuImAZe7mYbFaOuCZK2eQtHjI45iDOzfThhjpUXqoAyd8OqprL1vrOQr14Vyw2db719ZZPmYCHMtp29kNCVlwWbDK%2FknnYiltqkJZSiNmSwvPi8%2FpJjA%2FFDcmeFQTT1gILM0pjePBR9tXskpEY4it2cARETtmq6L3Aw0MopH9aJCmeNDCJLWWbgue%2F1rNJZL3WJ6%2FQwBR%2BINC1DeWznhFjPZ%2F0tbArrIcO4xMg3L4CIJirdygo43Hrf4QsMzrFeC6U0oSHvqLSzSfME2%2BV3rzQ8j%2F8A6uxcRHsm46IQqtAPc6zJNOwsz0PaVGLcyeoyfPeiR2zBWtpEn6VPhvK6nEwiCtk5gcjmbhY0MPtUDa402V0LXmlEHybxwwnOQeg6T5nYMMYrL0VY%2BzWbsZ5vEfy6WxRGvMkuYxrljY%2BO3aVen%2BVTrMazE7BdcR5zJrS9%2BuIse9IGkZ5i5RhhB4OmQt94fDIv0N6rph8kxlnIjistXbAQo1v8YjMYobG9SvyseNMXtRZc6eLH0PVnBH2YJhs9GEaFZBKTUpL8WG%2F1%2F9IRwGLDyHmzvn1B1jXzl6Gite8G%2BnQMRyJ5mfYP9%2F%2F%2Bmns4DaUn3jQdvZ3xRG30wuwSrpX0PgkYndarPUpAO7zxZLOBwDhih7ij4O5iDuouZkVhAEF9dRXRUTG5i6axRMXL1umjy7cg6KoNNkjCA3mkOPX77xuKR73n%2Fkrn7EB5uNyjLjbh1kJVB0wXZU4Tyf6I%2Bz1c58ftmNBmAZuIqZ3jY91GHOJ24ZeYn6MOc7nnJGiiB5xYTvvms1bkSqRoBEbdCQ8Bm6JkFU2y4CKcwEIG2bra1ABPqNeR5q4WE1uFQjbuAKSM3K%2BK4niqBqHkaZhqQd60yy6lEkOTirejkoZVkZSfb6C%2BM0dXXL7iFPd1bZEJfhy0madxBKvHI8d1XizP8mhAGfiW9GhxIovMTMTDGgEmHqThY4NpkmE191voxpVbveZBJyNU2je%2BzdmaXkRTEiRchWT3wJDVwUrpWSNb5B9LJt8%2FK0HYUemf2LrKUGI5QFdVNk12dTlsLvRqXTigJLzI6wtiR36DvpfBpVaMb8Buga0g%2FMxTt2PpK9BLPEEaLWjandsoE7xK%2B7oyRXW9JHCsKcahoMjEXsnnR2xokAZl92vJt5K5UUU8tcIXhlc1o%2FvECDqhqLzk19bc711rze%2FwBl1UWkdt3kJS2lLXiRN48NbGK115vbsCz5PLKsNkbEzc9oF1nrmUCKOxA%2BybE%2FAGIadFXQG43C5jCBzA%2F7Lu8pKFn1H7CWLJJkcWQkYqjTKJhogfR1cdQJsHQR3F5S98ChjpQOPXZuEtfnjTLN%2B7eRDNk6vQuLY2xpHlD%2BJkhKiOtF8lwc3lM%2BLymv4ScLRreLyrvnPMCFgC83F%2F%2Bccl3Wux%2F8iY9sOcxs9KBtJERew03oWR%2BBfAkaFmCzz4gWPJcUq8e8%3D
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Z8llSyLbYQQfSnMAnwpl0iRmJyqTyQpmbIqNx%2F4BCuWuEMgSVxKsCtFII%2BSizFJfvyKJjTJd%2B84zDBmN2wW03goAeIcK035vdzaXOQ0gC5UYHzYGqfbdHUWBOuVAJEJC5XL1eMVfCFBB6KHZ5wqP68Jd8BT%2BtUR2JV0QsUOH03xDsijUwCcnBNVgSwhysbPCNUcYCIuZ1tB5PgaUX6rW59x8vzWBvovLzk7OBuNMKD0O2TSZjUNq7pEbfc3G3lxaMQpPqyKzve7cWWmkGIdlMR0MD6BO4bQbEdYxBpXoeFDQS0xmWSCfj%2FJtWu%2Fdk5k3S8lijR6JvzPh8txsP3lM%2BFf16leT284LgIkkwV0bU4XnbV2zu%2Fh7taa9LMNEHfxl6MfWsCPIwTLZJTQI7BEgxxwTrbY5Kz8JBYtf1%2BUryvguxZfch6B1EBEvcS74cok%2F6IwEztL24ajOew1mViD4viGCLgeZbZVCP5evY7xjHLlGXQQQtCbEhILbv7evJVn6fqVLJ5E6jmg7MT1BQ7c%2FISbbT0g9iJ6Wo0U%2FwjNhZwnu%2BBbTgR4GoAtmHmghxIp7V0EYiQvsDAtqruBybjypCanbyM%2FoEZ%2BuX5LNZPkgi3Ak59NqwLAlR9vR78D5aber3gHDFG1%2BLIamqEmmyjG%2FvliQs0ROAKVmNe4OE9P6XZmJbDT%2BcOWK7IAuv%2FQi918JfCNaTmH1%2B0aw0et8m4kV5r5zH2GMo2gPDcldIHnIREu27jJMmzBTTSJPUj%2B%2BCnGI%2Bas7oA%2F3NgkIpM2T8y2xWwWc8dmxOWe5A7HnBv30%2BHeHzLHLVxuCwXlmQ9dQ0JJazZBOD6jutCEi%2BogI9qUgnGJdTYxeguGly0httxr7K84Z2qzjNqHOGfpi2mdiC5lVT4fkgwGaOhVR5VGV6Rfn6SXZF5awMgqqwbTaIO%2B2wsobOh41uAiM6T24Yt2edfyISfWBuboEJinXxSKvqmFFjkirBrjHvMHAR44DbIjcWzCpxFyw%2BsdVZwdHqvRlEmGuHmY0S3pEmJsVDZxrzy4fSwhE4mIf0V1GkzllyFKzHcRV5xv7106fM3g2zQjfbuEeKVLfjJK7EYvO1pSAVaODV4yLGdFKt5cS3GSKUnnXLOR%2FlN5Ph%2FnQYycsqEd6qQzoIECzoNZ2fJiJb2JbO%2BEWctAIzwmvNQGtIlHRv47JC80cDwOoWLoBMz7pavVuVDskyAksAWJrqHn8rR0hROkdJKC%2BFNAuk6MaSSSDWg932BgA4SUhmQa3jxV7iD5pRTuc%2FgcfARPJx6J%2FQH%2BHAnTq1%2BQ9GCNugTGT8NNDfjddzYon%2BNCgqhHFtGJg0YKBR22bY1Zuiy8jzxqoKLZblmH7dx0QzTWijKA9PkxqYjv6YSkljTHoqI6B6OeDAyT44MhNoAYWBuQDqdR%2FpDz1DCURM0yQlUbemcWOiO8QxtOYgS5VKe2Aavp0no21JM045KHgaJ2t%2BaaqAAbZLU7%2BBWLGNoSCuBMEMgUZGMcAs4Qbn4L4O5%2FQ913%2FP12utqiE8RHZ2E8n0uystOUjTNTer6Rvy21bQ1ZIGlX%2BApCxUMhPv1HN2f80J6P0FhP4WnFUX9RbU%2BY3RaJz4U0U4PKHPsm0%2Bdp2xnBBDipI9WEx5Vry%2FdaKpqDPZZWWx7wfmu1hix8ajTQ45L30uPH38So%2F%2FXFcQFR91jDN%2BMxxOnsdm79KJjz6b%2Flw%2B582MHnmtg6bTNc7uFJSugLbKUHMZ7LMIJd8aTdBfDzzLgmSNUFOKr5vanLjoiRJKqyS7GfinVYHta6g4RJFASI2WLCHGNGBThuj7y8nASDCiasx7gp5wtlTr6l88bryxR%2FqFJDAGBMZfDiqmqkOCIB0I1b7q5CErSv7IIgqWaw%2BwEIn4urmsFuQqnzBAH75fXE%3D
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=LIrp7we1t09GcK39Mqxci%2Bp%2BOOeXzQP3OEIAhBYXu7STR0x8AHyH1EUcDKyLfAof0r9WwgkFPggUmuhRDnafsB5FCB9tefuR6REiwOhYPM1qikXedc6h0P2%2Bkj0yQAfHAeP1fmooQNW5zqQMC3ieMFAO6yP033rk9Anzxx60Y4XWL14V2jn1nkCgYjrBXXCXqKONKh2jxplp7jpMuzRCbnbMN8d0BdjOmaA6zjv6L3KKupzOoIWoreRTHaxnq3z%2F66zeb35uXvrBHTIVdWSsl2ItVungtsTsqjiGyyJVxZcHfhUXZqZ6KU9DV%2BoOdbWuHE%2FFaFrga5%2BZwsLABoS83m63UB02efZzotSfofzm2pv36k%2BfzWMmmNUyDI86hxtuEFaPrOucj9o9md%2FNH74jUrpwkvv2TVRVDubMiJK5rmOvx2Kh6PZvlFPuaDltGMa2mPJZxhwg61Hxvseq8hbkMpyUpVIUUr%2FXYpg%2BpZBcR%2FOmixFibv%2B7XlXBLqBcbBFYwrVjcfH%2BHWcLOkPFC1B9pYemj796bMIuySEWJnd1hJAmp86t27l7q4zJUK6tc%2BRyaKl%2FEFliJ5AifthTVM6m7AL8rNxnSTTps2C8YXav0csFnuuVvadnQeKU7w510UqrjS8gl%2BONnXhJbTISzoBCeV%2BFtxuhU8efQWw9GzO0nUCPmF6k%2FCXTSjXGva%2Bw461lHvbXjMMhNbzFIPnTgPkwJdLPjKLdiquT0E1Ucgy%2BlGRg2m7MAMeq%2BmeW6HuDK7CDKTn8YYLIHPF3fjLREFatTAVAAEkM%2BD0Ggil1V%2BmM4Y%2FyP3kDAZM%2Bez8SDJJChNAXAJNM0KW39m2o3sp0vYT1X0Kg0%2B5J8kDalaJftjQ9WFcPNkhiwlGuQ3%2BecuueL6it7o0ubNjQoe2VBQOtZhWtptSFhTyHMUe8LxN4JG1TfxkwWS%2FGSUPeAEXtg1xFkSSVwebGxuHqCbdSWq07e7%2F%2FMGASJKf2fnSkiV4KajJ4rgCv%2FgjG30QTdiClohvBd9q%2FMvsYbHvfxrjJFQwQSqHRWc045I5FMKilJtbgvFPk%2FthkkhnzDbMPr6TabOB5qxYuK75lqHGhRTocoEYMzDVBTvwGRH65Duv8CHx76MG2IZHOj9qGHEge%2FxaaZsZSwuD33xsOFg0nDuGjaY14%2FBnG3oWOZ8tJtmIfj%2FUAGiAdYyRgBlVgJ0lICKojxGa%2BzyRcL759xTrNjvfw81eq6aQIZJ%2B99aBLYHmr8qB%2Fhw5JW5zb10LNW2B7i6W3iih49EThVkOnh0LvRz56GZV7EPAjR6BNoX5XPBFeUyHNwnK%2FrlWfeDWG%2BBWNUSnJhPSk2KowPamp%2Fv9y42ENuh3KM0nWFeAp3bdoNOADyQybB%2FzdnGpAUTLKl57OsQDS6WEfaDlFs0zAAEyiKLxolAVvotE%2FTTNCZtaeGhXd3uR4LZNKM5O72t9B0BRIjDsUMMZAG3m03IjLT3ULGjc%2B6wKy55%2FSmVYzF1SxgZjunm64j4WDIR8eG8dcQOSrEV16%2B1AlbX9GUqZyhkxbB9y%2B7LgKpt%2B2E6hhlEOe%2FowAILNnzDVl%2B8l2Zs%2FnWn30Hbw6rcc5E4Am8Pp1oh5I1dbmWJSoDTT3WGCeeJBrWJKGGy0qwM58ESIrEIfFo%2BvvqmAEoAr3dIk3wkQnqLKlnzAUg6qj%2BkGpFrv%2BkMzvXSJzrPhNTRKKKtOUf5rUDm%2FlSQTzIqNF4RPW4Fqc%2BQLpQqt6t%2FxYiFKS%2BoZoeK9c866uGFvPSP3sJdrzKiKiY6MmrZoFlplShLKFbxBevTUHiIVOO28IU%2FJx4l%2FW%2B%2FlNlTGequDDmY4IFrFUMZz8RQxU0velqSNPxIPEOA4wUWmAVJTGQa9yAx6F0%2Buc0dwFhtlf5zT8%2BM%2BGQtQUvxoyrHSj9bT3sEb7
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1100316901-vela-ignicao-bmw-323i-25-24v-gasolina-1997-a-1998-bkr6ekcd-_JM#position=34&search_layout=stack&type=item&tracking_id=9b21f821-21b8-4f64-b702-ab4ee801edbb
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1100317917-vela-ignicao-stilo-24-20v-gasolina-2002-a-2003-bkr6ekcd-_JM#position=40&search_layout=stack&type=item&tracking_id=9b21f821-21b8-4f64-b702-ab4ee801edbb
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1716831138-velas-ngk-ltr7a10-_JM#position=44&search_layout=stack&type=item&tracking_id=9b21f821-21b8-4f64-b702-ab4ee801edbb
9,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1719026873-vela-de-ignico-ker7a8deg-01-und-_JM#position=45&search_layout=stack&type=item&tracking_id=9b21f821-21b8-4f64-b702-ab4ee801edbb
