,preco,marca,status
2092,95,Distrito Federal,FAZER
2093,96,Distrito Federal,FAZER
2094,97,Distrito Federal,FAZER
2095,98,Distrito Federal,FAZER
2096,99,Distrito Federal,FAZER
2097,100,Distrito Federal,FAZER
2098,101,Distrito Federal,FAZER
2099,102,Distrito Federal,FAZER
2100,103,Distrito Federal,FAZER
2101,104,Distrito Federal,FAZER
2102,105,Distrito Federal,FAZER
2103,106,Distrito Federal,FAZER
2104,107,Distrito Federal,FAZER
2105,108,Distrito Federal,FAZER
2106,109,Distrito Federal,FAZER
2107,110,Distrito Federal,FAZER
2108,111,Distrito Federal,FAZER
2109,112,Distrito Federal,FAZER
2110,113,Distrito Federal,FAZER
2111,114,Distrito Federal,FAZER
2112,115,Distrito Federal,FAZER
2113,116,Distrito Federal,FAZER
2114,117,Distrito Federal,FAZER
2115,118,Distrito Federal,FAZER
2116,119,Distrito Federal,FAZER
2117,120,Distrito Federal,FAZER
2118,121,Distrito Federal,FAZER
2119,122,Distrito Federal,FAZER
2120,123,Distrito Federal,FAZER
2121,124,Distrito Federal,FAZER
2122,125,Distrito Federal,FAZER
2123,126,Distrito Federal,FAZER
2124,127,Distrito Federal,FAZER
2125,128,Distrito Federal,FAZER
2126,129,Distrito Federal,FAZER
2127,130,Distrito Federal,FAZER
2128,131,Distrito Federal,FAZER
2129,132,Distrito Federal,FAZER
2130,133,Distrito Federal,FAZER
2131,134,Distrito Federal,FAZER
2132,135,Distrito Federal,FAZER
2133,136,Distrito Federal,FAZER
2134,137,Distrito Federal,FAZER
2135,138,Distrito Federal,FAZER
2136,139,Distrito Federal,FAZER
2137,140,Distrito Federal,FAZER
2138,141,Distrito Federal,FAZER
2139,142,Distrito Federal,FAZER
2140,143,Distrito Federal,FAZER
2141,144,Distrito Federal,FAZER
2142,145,Distrito Federal,FAZER
2143,146,Distrito Federal,FAZER
2144,147,Distrito Federal,FAZER
2145,148,Distrito Federal,FAZER
2146,149,Distrito Federal,FAZER
2147,150,Distrito Federal,FAZER
2148,151,Distrito Federal,FAZER
2149,152,Distrito Federal,FAZER
2150,153,Distrito Federal,FAZER
2151,154,Distrito Federal,FAZER
2152,155,Distrito Federal,FAZER
2153,156,Distrito Federal,FAZER
2154,157,Distrito Federal,FAZER
2155,158,Distrito Federal,FAZER
2156,159,Distrito Federal,FAZER
2157,160,Distrito Federal,FAZER
2158,161,Distrito Federal,FAZER
2159,162,Distrito Federal,FAZER
2160,163,Distrito Federal,FAZER
2161,164,Distrito Federal,FAZER
2162,165,Distrito Federal,FAZER
2163,166,Distrito Federal,FAZER
2164,167,Distrito Federal,FAZER
2165,168,Distrito Federal,FAZER
2166,169,Distrito Federal,FAZER
2167,170,Distrito Federal,FAZER
2168,171,Distrito Federal,FAZER
2169,172,Distrito Federal,FAZER
2170,173,Distrito Federal,FAZER
2171,174,Distrito Federal,FAZER
2172,175,Distrito Federal,FAZER
2173,176,Distrito Federal,FAZER
2174,177,Distrito Federal,FAZER
2175,178,Distrito Federal,FAZER
2176,179,Distrito Federal,FAZER
2177,180,Distrito Federal,FAZER
2178,181,Distrito Federal,FAZER
2179,182,Distrito Federal,FAZER
2180,183,Distrito Federal,FAZER
2181,184,Distrito Federal,FAZER
2182,185,Distrito Federal,FAZER
2183,186,Distrito Federal,FAZER
2184,187,Distrito Federal,FAZER
2185,188,Distrito Federal,FAZER
2186,189,Distrito Federal,FAZER
2187,190,Distrito Federal,FAZER
2188,191,Distrito Federal,FAZER
2189,192,Distrito Federal,FAZER
2190,193,Distrito Federal,FAZER
2191,194,Distrito Federal,FAZER
2192,195,Distrito Federal,FAZER
2193,196,Distrito Federal,FAZER
2194,197,Distrito Federal,FAZER
2195,198,Distrito Federal,FAZER
2196,199,Distrito Federal,FAZER
2197,200,Distrito Federal,FAZER
2198,201,Distrito Federal,FAZER
2199,202,Distrito Federal,FAZER
2200,203,Distrito Federal,FAZER
2201,204,Distrito Federal,FAZER
2202,205,Distrito Federal,FAZER
2203,206,Distrito Federal,FAZER
2204,207,Distrito Federal,FAZER
2205,208,Distrito Federal,FAZER
2206,209,Distrito Federal,FAZER
2207,210,Distrito Federal,FAZER
2208,211,Distrito Federal,FAZER
2209,212,Distrito Federal,FAZER
2210,213,Distrito Federal,FAZER
2211,214,Distrito Federal,FAZER
2212,215,Distrito Federal,FAZER
2213,216,Distrito Federal,FAZER
2214,217,Distrito Federal,FAZER
2215,218,Distrito Federal,FAZER
2216,219,Distrito Federal,FAZER
2217,220,Distrito Federal,FAZER
2218,221,Distrito Federal,FAZER
2219,222,Distrito Federal,FAZER
2220,223,Distrito Federal,FAZER
2221,224,Distrito Federal,FAZER
2222,225,Distrito Federal,FAZER
2223,226,Distrito Federal,FAZER
2224,227,Distrito Federal,FAZER
2225,228,Distrito Federal,FAZER
2226,229,Distrito Federal,FAZER
2227,230,Distrito Federal,FAZER
2228,231,Distrito Federal,FAZER
2229,232,Distrito Federal,FAZER
2230,233,Distrito Federal,FAZER
2231,234,Distrito Federal,FAZER
2232,235,Distrito Federal,FAZER
2233,236,Distrito Federal,FAZER
2234,237,Distrito Federal,FAZER
2235,238,Distrito Federal,FAZER
2236,239,Distrito Federal,FAZER
2237,240,Distrito Federal,FAZER
2238,241,Distrito Federal,FAZER
2239,242,Distrito Federal,FAZER
2240,243,Distrito Federal,FAZER
2241,244,Distrito Federal,FAZER
2242,245,Distrito Federal,FAZER
2243,246,Distrito Federal,FAZER
2244,247,Distrito Federal,FAZER
2245,248,Distrito Federal,FAZER
2246,249,Distrito Federal,FAZER
2247,250,Distrito Federal,FAZER
2248,251,Distrito Federal,FAZER
2249,252,Distrito Federal,FAZER
2250,253,Distrito Federal,FAZER
2251,254,Distrito Federal,FAZER
2252,255,Distrito Federal,FAZER
