,preco,cidade,status
9191,201,Paraíba,FAZER
9192,202,Paraíba,FAZER
9193,203,Paraíba,FAZER
9194,204,Paraíba,FAZER
9195,205,Paraíba,FAZER
9196,206,Paraíba,FAZER
9197,207,Paraíba,FAZER
9198,208,Paraíba,FAZER
9199,209,Paraíba,FAZER
9200,210,Paraíba,FAZER
9201,211,Paraíba,FAZER
9202,212,Paraíba,FAZER
9203,213,Paraíba,FAZER
9204,214,Paraíba,FAZER
9205,215,Paraíba,FAZER
9206,216,Paraíba,FAZER
9207,217,Paraíba,FAZER
9208,218,Paraíba,FAZER
9209,219,Paraíba,FAZER
9210,220,Paraíba,FAZER
9211,221,Paraíba,FAZER
9212,222,Paraíba,FAZER
9213,223,Paraíba,FAZER
9214,224,Paraíba,FAZER
9215,225,Paraíba,FAZER
9216,226,Paraíba,FAZER
9217,227,Paraíba,FAZER
9218,228,Paraíba,FAZER
9219,229,Paraíba,FAZER
9220,230,Paraíba,FAZER
9221,231,Paraíba,FAZER
9222,232,Paraíba,FAZER
9223,233,Paraíba,FAZER
9224,234,Paraíba,FAZER
9225,235,Paraíba,FAZER
9226,236,Paraíba,FAZER
9227,237,Paraíba,FAZER
9228,238,Paraíba,FAZER
9229,239,Paraíba,FAZER
9230,240,Paraíba,FAZER
9231,241,Paraíba,FAZER
9232,242,Paraíba,FAZER
9233,243,Paraíba,FAZER
9234,244,Paraíba,FAZER
9235,245,Paraíba,FAZER
9236,246,Paraíba,FAZER
9237,247,Paraíba,FAZER
9238,248,Paraíba,FAZER
9239,249,Paraíba,FAZER
9240,250,Paraíba,FAZER
9241,251,Paraíba,FAZER
9242,252,Paraíba,FAZER
9243,253,Paraíba,FAZER
9244,254,Paraíba,FAZER
9245,255,Paraíba,FAZER
9246,256,Paraíba,FAZER
9247,257,Paraíba,FAZER
9248,258,Paraíba,FAZER
9249,259,Paraíba,FAZER
9250,260,Paraíba,FAZER
9251,261,Paraíba,FAZER
9252,262,Paraíba,FAZER
9253,263,Paraíba,FAZER
9254,264,Paraíba,FAZER
9255,265,Paraíba,FAZER
9256,266,Paraíba,FAZER
9257,267,Paraíba,FAZER
9258,268,Paraíba,FAZER
9259,269,Paraíba,FAZER
9260,270,Paraíba,FAZER
9261,271,Paraíba,FAZER
9262,272,Paraíba,FAZER
9263,273,Paraíba,FAZER
9264,274,Paraíba,FAZER
9265,275,Paraíba,FAZER
9266,276,Paraíba,FAZER
9267,277,Paraíba,FAZER
9268,278,Paraíba,FAZER
9269,279,Paraíba,FAZER
9270,280,Paraíba,FAZER
9271,281,Paraíba,FAZER
9272,282,Paraíba,FAZER
9273,283,Paraíba,FAZER
9274,284,Paraíba,FAZER
9275,285,Paraíba,FAZER
9276,286,Paraíba,FAZER
9277,287,Paraíba,FAZER
9278,288,Paraíba,FAZER
9279,289,Paraíba,FAZER
9280,290,Paraíba,FAZER
9281,291,Paraíba,FAZER
9282,292,Paraíba,FAZER
9283,293,Paraíba,FAZER
9284,294,Paraíba,FAZER
9285,295,Paraíba,FAZER
9286,296,Paraíba,FAZER
9287,297,Paraíba,FAZER
9288,298,Paraíba,FAZER
9289,299,Paraíba,FAZER
9290,300,Paraíba,FAZER
9291,301,Paraíba,FAZER
9292,302,Paraíba,FAZER
9293,303,Paraíba,FAZER
9294,304,Paraíba,FAZER
9295,305,Paraíba,FAZER
9296,306,Paraíba,FAZER
9297,307,Paraíba,FAZER
9298,308,Paraíba,FAZER
9299,309,Paraíba,FAZER
9300,310,Paraíba,FAZER
9301,311,Paraíba,FAZER
9302,312,Paraíba,FAZER
9303,313,Paraíba,FAZER
9304,314,Paraíba,FAZER
9305,315,Paraíba,FAZER
9306,316,Paraíba,FAZER
9307,317,Paraíba,FAZER
9308,318,Paraíba,FAZER
9309,319,Paraíba,FAZER
9310,320,Paraíba,FAZER
9311,321,Paraíba,FAZER
9312,322,Paraíba,FAZER
9313,323,Paraíba,FAZER
9314,324,Paraíba,FAZER
9315,325,Paraíba,FAZER
9316,326,Paraíba,FAZER
9317,327,Paraíba,FAZER
9318,328,Paraíba,FAZER
9319,329,Paraíba,FAZER
9320,330,Paraíba,FAZER
9321,331,Paraíba,FAZER
9322,332,Paraíba,FAZER
9323,333,Paraíba,FAZER
9324,334,Paraíba,FAZER
9325,335,Paraíba,FAZER
9326,336,Paraíba,FAZER
9327,337,Paraíba,FAZER
9328,338,Paraíba,FAZER
9329,339,Paraíba,FAZER
9330,340,Paraíba,FAZER
9331,341,Paraíba,FAZER
9332,342,Paraíba,FAZER
9333,343,Paraíba,FAZER
9334,344,Paraíba,FAZER
9335,345,Paraíba,FAZER
9336,346,Paraíba,FAZER
9337,347,Paraíba,FAZER
9338,348,Paraíba,FAZER
9339,349,Paraíba,FAZER
9340,350,Paraíba,FAZER
9341,351,Paraíba,FAZER
9342,352,Paraíba,FAZER
9343,353,Paraíba,FAZER
9344,354,Paraíba,FAZER
9345,355,Paraíba,FAZER
9346,356,Paraíba,FAZER
9347,357,Paraíba,FAZER
9348,358,Paraíba,FAZER
9349,359,Paraíba,FAZER
9350,360,Paraíba,FAZER
9351,361,Paraíba,FAZER
9352,362,Paraíba,FAZER
9353,363,Paraíba,FAZER
9354,364,Paraíba,FAZER
9355,365,Paraíba,FAZER
9356,366,Paraíba,FAZER
9357,367,Paraíba,FAZER
9358,368,Paraíba,FAZER
9359,369,Paraíba,FAZER
9360,370,Paraíba,FAZER
9361,371,Paraíba,FAZER
9362,372,Paraíba,FAZER
9363,373,Paraíba,FAZER
9364,374,Paraíba,FAZER
9365,375,Paraíba,FAZER
9366,376,Paraíba,FAZER
9367,377,Paraíba,FAZER
9368,378,Paraíba,FAZER
9369,379,Paraíba,FAZER
9370,380,Paraíba,FAZER
9371,381,Paraíba,FAZER
9372,382,Paraíba,FAZER
9373,383,Paraíba,FAZER
9374,384,Paraíba,FAZER
9375,385,Paraíba,FAZER
9376,386,Paraíba,FAZER
9377,387,Paraíba,FAZER
9378,388,Paraíba,FAZER
9379,389,Paraíba,FAZER
9380,390,Paraíba,FAZER
9381,391,Paraíba,FAZER
9382,392,Paraíba,FAZER
9383,393,Paraíba,FAZER
9384,394,Paraíba,FAZER
9385,395,Paraíba,FAZER
9386,396,Paraíba,FAZER
9387,397,Paraíba,FAZER
9388,398,Paraíba,FAZER
9389,399,Paraíba,FAZER
9390,400,Paraíba,FAZER
9391,401,Paraíba,FAZER
9392,402,Paraíba,FAZER
9393,403,Paraíba,FAZER
9394,404,Paraíba,FAZER
9395,405,Paraíba,FAZER
9396,406,Paraíba,FAZER
9397,407,Paraíba,FAZER
9398,408,Paraíba,FAZER
9399,409,Paraíba,FAZER
9400,410,Paraíba,FAZER
9401,411,Paraíba,FAZER
9402,412,Paraíba,FAZER
9403,413,Paraíba,FAZER
9404,414,Paraíba,FAZER
9405,415,Paraíba,FAZER
9406,416,Paraíba,FAZER
9407,417,Paraíba,FAZER
9408,418,Paraíba,FAZER
9409,419,Paraíba,FAZER
9410,420,Paraíba,FAZER
9411,421,Paraíba,FAZER
9412,422,Paraíba,FAZER
9413,423,Paraíba,FAZER
9414,424,Paraíba,FAZER
9415,425,Paraíba,FAZER
9416,426,Paraíba,FAZER
9417,427,Paraíba,FAZER
9418,428,Paraíba,FAZER
9419,429,Paraíba,FAZER
9420,430,Paraíba,FAZER
9421,431,Paraíba,FAZER
9422,432,Paraíba,FAZER
9423,433,Paraíba,FAZER
9424,434,Paraíba,FAZER
9425,435,Paraíba,FAZER
9426,436,Paraíba,FAZER
9427,437,Paraíba,FAZER
9428,438,Paraíba,FAZER
9429,439,Paraíba,FAZER
9430,440,Paraíba,FAZER
9431,441,Paraíba,FAZER
9432,442,Paraíba,FAZER
9433,443,Paraíba,FAZER
9434,444,Paraíba,FAZER
9435,445,Paraíba,FAZER
9436,446,Paraíba,FAZER
9437,447,Paraíba,FAZER
9438,448,Paraíba,FAZER
9439,449,Paraíba,FAZER
9440,450,Paraíba,FAZER
9441,451,Paraíba,FAZER
9442,452,Paraíba,FAZER
9443,453,Paraíba,FAZER
9444,454,Paraíba,FAZER
9445,455,Paraíba,FAZER
9446,456,Paraíba,FAZER
9447,457,Paraíba,FAZER
9448,458,Paraíba,FAZER
9449,459,Paraíba,FAZER
9450,460,Paraíba,FAZER
9451,461,Paraíba,FAZER
9452,462,Paraíba,FAZER
9453,463,Paraíba,FAZER
9454,464,Paraíba,FAZER
9455,465,Paraíba,FAZER
9456,466,Paraíba,FAZER
9457,467,Paraíba,FAZER
9458,468,Paraíba,FAZER
9459,469,Paraíba,FAZER
9460,470,Paraíba,FAZER
9461,471,Paraíba,FAZER
9462,472,Paraíba,FAZER
9463,473,Paraíba,FAZER
9464,474,Paraíba,FAZER
9465,475,Paraíba,FAZER
9466,476,Paraíba,FAZER
9467,477,Paraíba,FAZER
9468,478,Paraíba,FAZER
9469,479,Paraíba,FAZER
9470,480,Paraíba,FAZER
9471,481,Paraíba,FAZER
9472,482,Paraíba,FAZER
9473,483,Paraíba,FAZER
9474,484,Paraíba,FAZER
9475,485,Paraíba,FAZER
9476,486,Paraíba,FAZER
9477,487,Paraíba,FAZER
9478,488,Paraíba,FAZER
9479,489,Paraíba,FAZER
9480,490,Paraíba,FAZER
9481,491,Paraíba,FAZER
9482,492,Paraíba,FAZER
9483,493,Paraíba,FAZER
9484,494,Paraíba,FAZER
9485,495,Paraíba,FAZER
9486,496,Paraíba,FAZER
9487,497,Paraíba,FAZER
9488,498,Paraíba,FAZER
9489,499,Paraíba,FAZER
9490,500,Paraíba,FAZER
9491,501,Paraíba,FAZER
9492,502,Paraíba,FAZER
9493,503,Paraíba,FAZER
9494,504,Paraíba,FAZER
9495,505,Paraíba,FAZER
9496,506,Paraíba,FAZER
9497,507,Paraíba,FAZER
9498,508,Paraíba,FAZER
9499,509,Paraíba,FAZER
9500,510,Paraíba,FAZER
9501,511,Paraíba,FAZER
9502,512,Paraíba,FAZER
9503,513,Paraíba,FAZER
9504,514,Paraíba,FAZER
9505,515,Paraíba,FAZER
9506,516,Paraíba,FAZER
9507,517,Paraíba,FAZER
9508,518,Paraíba,FAZER
9509,519,Paraíba,FAZER
9510,520,Paraíba,FAZER
9511,521,Paraíba,FAZER
9512,522,Paraíba,FAZER
9513,523,Paraíba,FAZER
9514,524,Paraíba,FAZER
9515,525,Paraíba,FAZER
9516,526,Paraíba,FAZER
9517,527,Paraíba,FAZER
9518,528,Paraíba,FAZER
9519,529,Paraíba,FAZER
9520,530,Paraíba,FAZER
9521,531,Paraíba,FAZER
9522,532,Paraíba,FAZER
9523,533,Paraíba,FAZER
9524,534,Paraíba,FAZER
9525,535,Paraíba,FAZER
9526,536,Paraíba,FAZER
9527,537,Paraíba,FAZER
9528,538,Paraíba,FAZER
9529,539,Paraíba,FAZER
9530,540,Paraíba,FAZER
9531,541,Paraíba,FAZER
9532,542,Paraíba,FAZER
9533,543,Paraíba,FAZER
9534,544,Paraíba,FAZER
9535,545,Paraíba,FAZER
9536,546,Paraíba,FAZER
9537,547,Paraíba,FAZER
9538,548,Paraíba,FAZER
9539,549,Paraíba,FAZER
9540,550,Paraíba,FAZER
9541,551,Paraíba,FAZER
9542,552,Paraíba,FAZER
9543,553,Paraíba,FAZER
9544,554,Paraíba,FAZER
9545,555,Paraíba,FAZER
9546,556,Paraíba,FAZER
9547,557,Paraíba,FAZER
9548,558,Paraíba,FAZER
9549,559,Paraíba,FAZER
9550,560,Paraíba,FAZER
9551,561,Paraíba,FAZER
9552,562,Paraíba,FAZER
9553,563,Paraíba,FAZER
9554,564,Paraíba,FAZER
9555,565,Paraíba,FAZER
9556,566,Paraíba,FAZER
9557,567,Paraíba,FAZER
9558,568,Paraíba,FAZER
9559,569,Paraíba,FAZER
9560,570,Paraíba,FAZER
9561,571,Paraíba,FAZER
9562,572,Paraíba,FAZER
9563,573,Paraíba,FAZER
9564,574,Paraíba,FAZER
9565,575,Paraíba,FAZER
9566,576,Paraíba,FAZER
9567,577,Paraíba,FAZER
9568,578,Paraíba,FAZER
9569,579,Paraíba,FAZER
9570,580,Paraíba,FAZER
9571,581,Paraíba,FAZER
9572,582,Paraíba,FAZER
9573,583,Paraíba,FAZER
9574,584,Paraíba,FAZER
9575,585,Paraíba,FAZER
9576,586,Paraíba,FAZER
9577,587,Paraíba,FAZER
9578,588,Paraíba,FAZER
9579,589,Paraíba,FAZER
9580,590,Paraíba,FAZER
9581,591,Paraíba,FAZER
9582,592,Paraíba,FAZER
9583,593,Paraíba,FAZER
9584,594,Paraíba,FAZER
9585,595,Paraíba,FAZER
9586,596,Paraíba,FAZER
9587,597,Paraíba,FAZER
9588,598,Paraíba,FAZER
9589,599,Paraíba,FAZER
9590,600,Paraíba,FAZER
9591,601,Paraíba,FAZER
9592,602,Paraíba,FAZER
9593,603,Paraíba,FAZER
9594,604,Paraíba,FAZER
9595,605,Paraíba,FAZER
9596,606,Paraíba,FAZER
9597,607,Paraíba,FAZER
9598,608,Paraíba,FAZER
9599,609,Paraíba,FAZER
9600,610,Paraíba,FAZER
9601,611,Paraíba,FAZER
9602,612,Paraíba,FAZER
9603,613,Paraíba,FAZER
9604,614,Paraíba,FAZER
9605,615,Paraíba,FAZER
9606,616,Paraíba,FAZER
9607,617,Paraíba,FAZER
9608,618,Paraíba,FAZER
9609,619,Paraíba,FAZER
9610,620,Paraíba,FAZER
9611,621,Paraíba,FAZER
9612,622,Paraíba,FAZER
9613,623,Paraíba,FAZER
9614,624,Paraíba,FAZER
9615,625,Paraíba,FAZER
9616,626,Paraíba,FAZER
9617,627,Paraíba,FAZER
9618,628,Paraíba,FAZER
9619,629,Paraíba,FAZER
9620,630,Paraíba,FAZER
9621,631,Paraíba,FAZER
9622,632,Paraíba,FAZER
9623,633,Paraíba,FAZER
9624,634,Paraíba,FAZER
9625,635,Paraíba,FAZER
9626,636,Paraíba,FAZER
9627,637,Paraíba,FAZER
9628,638,Paraíba,FAZER
9629,639,Paraíba,FAZER
9630,640,Paraíba,FAZER
9631,641,Paraíba,FAZER
9632,642,Paraíba,FAZER
9633,643,Paraíba,FAZER
9634,644,Paraíba,FAZER
9635,645,Paraíba,FAZER
9636,646,Paraíba,FAZER
9637,647,Paraíba,FAZER
9638,648,Paraíba,FAZER
9639,649,Paraíba,FAZER
9640,650,Paraíba,FAZER
9641,651,Paraíba,FAZER
9642,652,Paraíba,FAZER
9643,653,Paraíba,FAZER
9644,654,Paraíba,FAZER
9645,655,Paraíba,FAZER
9646,656,Paraíba,FAZER
9647,657,Paraíba,FAZER
9648,658,Paraíba,FAZER
9649,659,Paraíba,FAZER
9650,660,Paraíba,FAZER
9651,661,Paraíba,FAZER
9652,662,Paraíba,FAZER
9653,663,Paraíba,FAZER
9654,664,Paraíba,FAZER
9655,665,Paraíba,FAZER
9656,666,Paraíba,FAZER
9657,667,Paraíba,FAZER
9658,668,Paraíba,FAZER
9659,669,Paraíba,FAZER
9660,670,Paraíba,FAZER
9661,671,Paraíba,FAZER
9662,672,Paraíba,FAZER
9663,673,Paraíba,FAZER
9664,674,Paraíba,FAZER
9665,675,Paraíba,FAZER
9666,676,Paraíba,FAZER
9667,677,Paraíba,FAZER
9668,678,Paraíba,FAZER
9669,679,Paraíba,FAZER
9670,680,Paraíba,FAZER
9671,681,Paraíba,FAZER
9672,682,Paraíba,FAZER
9673,683,Paraíba,FAZER
9674,684,Paraíba,FAZER
9675,685,Paraíba,FAZER
9676,686,Paraíba,FAZER
9677,687,Paraíba,FAZER
9678,688,Paraíba,FAZER
9679,689,Paraíba,FAZER
9680,690,Paraíba,FAZER
9681,691,Paraíba,FAZER
9682,692,Paraíba,FAZER
9683,693,Paraíba,FAZER
9684,694,Paraíba,FAZER
9685,695,Paraíba,FAZER
9686,696,Paraíba,FAZER
9687,697,Paraíba,FAZER
9688,698,Paraíba,FAZER
9689,699,Paraíba,FAZER
9690,700,Paraíba,FAZER
9691,701,Paraíba,FAZER
9692,702,Paraíba,FAZER
9693,703,Paraíba,FAZER
9694,704,Paraíba,FAZER
9695,705,Paraíba,FAZER
9696,706,Paraíba,FAZER
9697,707,Paraíba,FAZER
9698,708,Paraíba,FAZER
9699,709,Paraíba,FAZER
9700,710,Paraíba,FAZER
9701,711,Paraíba,FAZER
9702,712,Paraíba,FAZER
9703,713,Paraíba,FAZER
9704,714,Paraíba,FAZER
9705,715,Paraíba,FAZER
9706,716,Paraíba,FAZER
9707,717,Paraíba,FAZER
9708,718,Paraíba,FAZER
9709,719,Paraíba,FAZER
9710,720,Paraíba,FAZER
9711,721,Paraíba,FAZER
9712,722,Paraíba,FAZER
9713,723,Paraíba,FAZER
9714,724,Paraíba,FAZER
9715,725,Paraíba,FAZER
9716,726,Paraíba,FAZER
9717,727,Paraíba,FAZER
9718,728,Paraíba,FAZER
9719,729,Paraíba,FAZER
9720,730,Paraíba,FAZER
9721,731,Paraíba,FAZER
9722,732,Paraíba,FAZER
9723,733,Paraíba,FAZER
9724,734,Paraíba,FAZER
9725,735,Paraíba,FAZER
9726,736,Paraíba,FAZER
9727,737,Paraíba,FAZER
9728,738,Paraíba,FAZER
9729,739,Paraíba,FAZER
9730,740,Paraíba,FAZER
9731,741,Paraíba,FAZER
9732,742,Paraíba,FAZER
9733,743,Paraíba,FAZER
9734,744,Paraíba,FAZER
9735,745,Paraíba,FAZER
9736,746,Paraíba,FAZER
9737,747,Paraíba,FAZER
9738,748,Paraíba,FAZER
9739,749,Paraíba,FAZER
9740,750,Paraíba,FAZER
9741,751,Paraíba,FAZER
9742,752,Paraíba,FAZER
9743,753,Paraíba,FAZER
9744,754,Paraíba,FAZER
9745,755,Paraíba,FAZER
9746,756,Paraíba,FAZER
9747,757,Paraíba,FAZER
9748,758,Paraíba,FAZER
9749,759,Paraíba,FAZER
9750,760,Paraíba,FAZER
9751,761,Paraíba,FAZER
9752,762,Paraíba,FAZER
9753,763,Paraíba,FAZER
9754,764,Paraíba,FAZER
9755,765,Paraíba,FAZER
9756,766,Paraíba,FAZER
