,preco,cidade,status
5396,402,Mato Grosso,FAZER
5397,403,Mato Grosso,FAZER
5398,404,Mato Grosso,FAZER
5399,405,Mato Grosso,FAZER
5400,406,Mato Grosso,FAZER
5401,407,Mato Grosso,FAZER
5402,408,Mato Grosso,FAZER
5403,409,Mato Grosso,FAZER
5404,410,Mato Grosso,FAZER
5405,411,Mato Grosso,FAZER
5406,412,Mato Grosso,FAZER
5407,413,Mato Grosso,FAZER
5408,414,Mato Grosso,FAZER
5409,415,Mato Grosso,FAZER
5410,416,Mato Grosso,FAZER
5411,417,Mato Grosso,FAZER
5412,418,Mato Grosso,FAZER
5413,419,Mato Grosso,FAZER
5414,420,Mato Grosso,FAZER
5415,421,Mato Grosso,FAZER
5416,422,Mato Grosso,FAZER
5417,423,Mato Grosso,FAZER
5418,424,Mato Grosso,FAZER
5419,425,Mato Grosso,FAZER
5420,426,Mato Grosso,FAZER
5421,427,Mato Grosso,FAZER
5422,428,Mato Grosso,FAZER
5423,429,Mato Grosso,FAZER
5424,430,Mato Grosso,FAZER
5425,431,Mato Grosso,FAZER
5426,432,Mato Grosso,FAZER
5427,433,Mato Grosso,FAZER
5428,434,Mato Grosso,FAZER
5429,435,Mato Grosso,FAZER
5430,436,Mato Grosso,FAZER
5431,437,Mato Grosso,FAZER
5432,438,Mato Grosso,FAZER
5433,439,Mato Grosso,FAZER
5434,440,Mato Grosso,FAZER
5435,441,Mato Grosso,FAZER
5436,442,Mato Grosso,FAZER
5437,443,Mato Grosso,FAZER
5438,444,Mato Grosso,FAZER
5439,445,Mato Grosso,FAZER
5440,446,Mato Grosso,FAZER
5441,447,Mato Grosso,FAZER
5442,448,Mato Grosso,FAZER
5443,449,Mato Grosso,FAZER
5444,450,Mato Grosso,FAZER
5445,451,Mato Grosso,FAZER
5446,452,Mato Grosso,FAZER
5447,453,Mato Grosso,FAZER
5448,454,Mato Grosso,FAZER
5449,455,Mato Grosso,FAZER
5450,456,Mato Grosso,FAZER
5451,457,Mato Grosso,FAZER
5452,458,Mato Grosso,FAZER
5453,459,Mato Grosso,FAZER
5454,460,Mato Grosso,FAZER
5455,461,Mato Grosso,FAZER
5456,462,Mato Grosso,FAZER
5457,463,Mato Grosso,FAZER
5458,464,Mato Grosso,FAZER
5459,465,Mato Grosso,FAZER
5460,466,Mato Grosso,FAZER
5461,467,Mato Grosso,FAZER
5462,468,Mato Grosso,FAZER
5463,469,Mato Grosso,FAZER
5464,470,Mato Grosso,FAZER
5465,471,Mato Grosso,FAZER
5466,472,Mato Grosso,FAZER
5467,473,Mato Grosso,FAZER
5468,474,Mato Grosso,FAZER
5469,475,Mato Grosso,FAZER
5470,476,Mato Grosso,FAZER
5471,477,Mato Grosso,FAZER
5472,478,Mato Grosso,FAZER
5473,479,Mato Grosso,FAZER
5474,480,Mato Grosso,FAZER
5475,481,Mato Grosso,FAZER
5476,482,Mato Grosso,FAZER
5477,483,Mato Grosso,FAZER
5478,484,Mato Grosso,FAZER
5479,485,Mato Grosso,FAZER
5480,486,Mato Grosso,FAZER
5481,487,Mato Grosso,FAZER
5482,488,Mato Grosso,FAZER
5483,489,Mato Grosso,FAZER
5484,490,Mato Grosso,FAZER
5485,491,Mato Grosso,FAZER
5486,492,Mato Grosso,FAZER
5487,493,Mato Grosso,FAZER
5488,494,Mato Grosso,FAZER
5489,495,Mato Grosso,FAZER
5490,496,Mato Grosso,FAZER
5491,497,Mato Grosso,FAZER
5492,498,Mato Grosso,FAZER
5493,499,Mato Grosso,FAZER
5494,500,Mato Grosso,FAZER
5495,501,Mato Grosso,FAZER
5496,502,Mato Grosso,FAZER
5497,503,Mato Grosso,FAZER
5498,504,Mato Grosso,FAZER
5499,505,Mato Grosso,FAZER
5500,506,Mato Grosso,FAZER
5501,507,Mato Grosso,FAZER
5502,508,Mato Grosso,FAZER
5503,509,Mato Grosso,FAZER
5504,510,Mato Grosso,FAZER
5505,511,Mato Grosso,FAZER
5506,512,Mato Grosso,FAZER
5507,513,Mato Grosso,FAZER
5508,514,Mato Grosso,FAZER
5509,515,Mato Grosso,FAZER
5510,516,Mato Grosso,FAZER
5511,517,Mato Grosso,FAZER
5512,518,Mato Grosso,FAZER
5513,519,Mato Grosso,FAZER
5514,520,Mato Grosso,FAZER
5515,521,Mato Grosso,FAZER
5516,522,Mato Grosso,FAZER
5517,523,Mato Grosso,FAZER
5518,524,Mato Grosso,FAZER
5519,525,Mato Grosso,FAZER
5520,526,Mato Grosso,FAZER
5521,527,Mato Grosso,FAZER
5522,528,Mato Grosso,FAZER
5523,529,Mato Grosso,FAZER
5524,530,Mato Grosso,FAZER
5525,531,Mato Grosso,FAZER
5526,532,Mato Grosso,FAZER
5527,533,Mato Grosso,FAZER
5528,534,Mato Grosso,FAZER
5529,535,Mato Grosso,FAZER
5530,536,Mato Grosso,FAZER
5531,537,Mato Grosso,FAZER
5532,538,Mato Grosso,FAZER
5533,539,Mato Grosso,FAZER
5534,540,Mato Grosso,FAZER
5535,541,Mato Grosso,FAZER
5536,542,Mato Grosso,FAZER
5537,543,Mato Grosso,FAZER
5538,544,Mato Grosso,FAZER
5539,545,Mato Grosso,FAZER
5540,546,Mato Grosso,FAZER
5541,547,Mato Grosso,FAZER
5542,548,Mato Grosso,FAZER
5543,549,Mato Grosso,FAZER
5544,550,Mato Grosso,FAZER
5545,551,Mato Grosso,FAZER
5546,552,Mato Grosso,FAZER
5547,553,Mato Grosso,FAZER
5548,554,Mato Grosso,FAZER
5549,555,Mato Grosso,FAZER
5550,556,Mato Grosso,FAZER
5551,557,Mato Grosso,FAZER
5552,558,Mato Grosso,FAZER
5553,559,Mato Grosso,FAZER
5554,560,Mato Grosso,FAZER
5555,561,Mato Grosso,FAZER
5556,562,Mato Grosso,FAZER
5557,563,Mato Grosso,FAZER
5558,564,Mato Grosso,FAZER
5559,565,Mato Grosso,FAZER
5560,566,Mato Grosso,FAZER
5561,567,Mato Grosso,FAZER
5562,568,Mato Grosso,FAZER
5563,569,Mato Grosso,FAZER
5564,570,Mato Grosso,FAZER
5565,571,Mato Grosso,FAZER
5566,572,Mato Grosso,FAZER
5567,573,Mato Grosso,FAZER
5568,574,Mato Grosso,FAZER
5569,575,Mato Grosso,FAZER
5570,576,Mato Grosso,FAZER
5571,577,Mato Grosso,FAZER
5572,578,Mato Grosso,FAZER
5573,579,Mato Grosso,FAZER
5574,580,Mato Grosso,FAZER
5575,581,Mato Grosso,FAZER
5576,582,Mato Grosso,FAZER
5577,583,Mato Grosso,FAZER
5578,584,Mato Grosso,FAZER
5579,585,Mato Grosso,FAZER
5580,586,Mato Grosso,FAZER
5581,587,Mato Grosso,FAZER
5582,588,Mato Grosso,FAZER
5583,589,Mato Grosso,FAZER
5584,590,Mato Grosso,FAZER
5585,591,Mato Grosso,FAZER
5586,592,Mato Grosso,FAZER
5587,593,Mato Grosso,FAZER
5588,594,Mato Grosso,FAZER
5589,595,Mato Grosso,FAZER
5590,596,Mato Grosso,FAZER
5591,597,Mato Grosso,FAZER
5592,598,Mato Grosso,FAZER
5593,599,Mato Grosso,FAZER
5594,600,Mato Grosso,FAZER
5595,601,Mato Grosso,FAZER
5596,602,Mato Grosso,FAZER
5597,603,Mato Grosso,FAZER
5598,604,Mato Grosso,FAZER
5599,605,Mato Grosso,FAZER
5600,606,Mato Grosso,FAZER
5601,607,Mato Grosso,FAZER
5602,608,Mato Grosso,FAZER
5603,609,Mato Grosso,FAZER
5604,610,Mato Grosso,FAZER
5605,611,Mato Grosso,FAZER
5606,612,Mato Grosso,FAZER
5607,613,Mato Grosso,FAZER
5608,614,Mato Grosso,FAZER
5609,615,Mato Grosso,FAZER
5610,616,Mato Grosso,FAZER
5611,617,Mato Grosso,FAZER
5612,618,Mato Grosso,FAZER
5613,619,Mato Grosso,FAZER
5614,620,Mato Grosso,FAZER
5615,621,Mato Grosso,FAZER
5616,622,Mato Grosso,FAZER
5617,623,Mato Grosso,FAZER
5618,624,Mato Grosso,FAZER
5619,625,Mato Grosso,FAZER
5620,626,Mato Grosso,FAZER
5621,627,Mato Grosso,FAZER
5622,628,Mato Grosso,FAZER
5623,629,Mato Grosso,FAZER
5624,630,Mato Grosso,FAZER
5625,631,Mato Grosso,FAZER
5626,632,Mato Grosso,FAZER
5627,633,Mato Grosso,FAZER
5628,634,Mato Grosso,FAZER
5629,635,Mato Grosso,FAZER
5630,636,Mato Grosso,FAZER
5631,637,Mato Grosso,FAZER
5632,638,Mato Grosso,FAZER
5633,639,Mato Grosso,FAZER
5634,640,Mato Grosso,FAZER
5635,641,Mato Grosso,FAZER
5636,642,Mato Grosso,FAZER
5637,643,Mato Grosso,FAZER
5638,644,Mato Grosso,FAZER
5639,645,Mato Grosso,FAZER
5640,646,Mato Grosso,FAZER
5641,647,Mato Grosso,FAZER
5642,648,Mato Grosso,FAZER
5643,649,Mato Grosso,FAZER
5644,650,Mato Grosso,FAZER
5645,651,Mato Grosso,FAZER
5646,652,Mato Grosso,FAZER
5647,653,Mato Grosso,FAZER
5648,654,Mato Grosso,FAZER
5649,655,Mato Grosso,FAZER
5650,656,Mato Grosso,FAZER
5651,657,Mato Grosso,FAZER
5652,658,Mato Grosso,FAZER
5653,659,Mato Grosso,FAZER
5654,660,Mato Grosso,FAZER
5655,661,Mato Grosso,FAZER
5656,662,Mato Grosso,FAZER
5657,663,Mato Grosso,FAZER
5658,664,Mato Grosso,FAZER
5659,665,Mato Grosso,FAZER
5660,666,Mato Grosso,FAZER
5661,667,Mato Grosso,FAZER
5662,668,Mato Grosso,FAZER
5663,669,Mato Grosso,FAZER
5664,670,Mato Grosso,FAZER
5665,671,Mato Grosso,FAZER
5666,672,Mato Grosso,FAZER
5667,673,Mato Grosso,FAZER
5668,674,Mato Grosso,FAZER
5669,675,Mato Grosso,FAZER
5670,676,Mato Grosso,FAZER
5671,677,Mato Grosso,FAZER
5672,678,Mato Grosso,FAZER
5673,679,Mato Grosso,FAZER
5674,680,Mato Grosso,FAZER
5675,681,Mato Grosso,FAZER
5676,682,Mato Grosso,FAZER
5677,683,Mato Grosso,FAZER
5678,684,Mato Grosso,FAZER
5679,685,Mato Grosso,FAZER
5680,686,Mato Grosso,FAZER
5681,687,Mato Grosso,FAZER
5682,688,Mato Grosso,FAZER
5683,689,Mato Grosso,FAZER
5684,690,Mato Grosso,FAZER
5685,691,Mato Grosso,FAZER
5686,692,Mato Grosso,FAZER
5687,693,Mato Grosso,FAZER
5688,694,Mato Grosso,FAZER
5689,695,Mato Grosso,FAZER
5690,696,Mato Grosso,FAZER
5691,697,Mato Grosso,FAZER
5692,698,Mato Grosso,FAZER
5693,699,Mato Grosso,FAZER
5694,700,Mato Grosso,FAZER
5695,701,Mato Grosso,FAZER
5696,702,Mato Grosso,FAZER
5697,703,Mato Grosso,FAZER
5698,704,Mato Grosso,FAZER
5699,705,Mato Grosso,FAZER
5700,706,Mato Grosso,FAZER
5701,707,Mato Grosso,FAZER
5702,708,Mato Grosso,FAZER
5703,709,Mato Grosso,FAZER
5704,710,Mato Grosso,FAZER
5705,711,Mato Grosso,FAZER
5706,712,Mato Grosso,FAZER
5707,713,Mato Grosso,FAZER
5708,714,Mato Grosso,FAZER
5709,715,Mato Grosso,FAZER
