,preco,marca,status
6644,651,Mato Grosso,FAZER
6645,652,Mato Grosso,FAZER
6646,653,Mato Grosso,FAZER
6647,654,Mato Grosso,FAZER
6648,655,Mato Grosso,FAZER
6649,656,Mato Grosso,FAZER
6650,657,Mato Grosso,FAZER
6651,658,Mato Grosso,FAZER
6652,659,Mato Grosso,FAZER
6653,660,Mato Grosso,FAZER
6654,661,Mato Grosso,FAZER
6655,662,Mato Grosso,FAZER
6656,663,Mato Grosso,FAZER
6657,664,Mato Grosso,FAZER
6658,665,Mato Grosso,FAZER
6659,666,Mato Grosso,FAZER
6660,667,Mato Grosso,FAZER
6661,668,Mato Grosso,FAZER
6662,669,Mato Grosso,FAZER
6663,670,Mato Grosso,FAZER
6664,671,Mato Grosso,FAZER
6665,672,Mato Grosso,FAZER
6666,673,Mato Grosso,FAZER
6667,674,Mato Grosso,FAZER
6668,675,Mato Grosso,FAZER
6669,676,Mato Grosso,FAZER
6670,677,Mato Grosso,FAZER
6671,678,Mato Grosso,FAZER
6672,679,Mato Grosso,FAZER
6673,680,Mato Grosso,FAZER
6674,681,Mato Grosso,FAZER
6675,682,Mato Grosso,FAZER
6676,683,Mato Grosso,FAZER
6677,684,Mato Grosso,FAZER
6678,685,Mato Grosso,FAZER
6679,686,Mato Grosso,FAZER
6680,687,Mato Grosso,FAZER
6681,688,Mato Grosso,FAZER
6682,689,Mato Grosso,FAZER
6683,690,Mato Grosso,FAZER
6684,691,Mato Grosso,FAZER
6685,692,Mato Grosso,FAZER
6686,693,Mato Grosso,FAZER
6687,694,Mato Grosso,FAZER
6688,695,Mato Grosso,FAZER
6689,696,Mato Grosso,FAZER
6690,697,Mato Grosso,FAZER
6691,698,Mato Grosso,FAZER
6692,699,Mato Grosso,FAZER
6693,700,Mato Grosso,FAZER
6694,701,Mato Grosso,FAZER
6695,702,Mato Grosso,FAZER
6696,703,Mato Grosso,FAZER
6697,704,Mato Grosso,FAZER
6698,705,Mato Grosso,FAZER
6699,706,Mato Grosso,FAZER
6700,707,Mato Grosso,FAZER
6701,708,Mato Grosso,FAZER
6702,709,Mato Grosso,FAZER
6703,710,Mato Grosso,FAZER
6704,711,Mato Grosso,FAZER
6705,712,Mato Grosso,FAZER
6706,713,Mato Grosso,FAZER
6707,714,Mato Grosso,FAZER
6708,715,Mato Grosso,FAZER
6709,716,Mato Grosso,FAZER
6710,717,Mato Grosso,FAZER
6711,718,Mato Grosso,FAZER
6712,719,Mato Grosso,FAZER
6713,720,Mato Grosso,FAZER
6714,721,Mato Grosso,FAZER
6715,722,Mato Grosso,FAZER
6716,723,Mato Grosso,FAZER
6717,724,Mato Grosso,FAZER
6718,725,Mato Grosso,FAZER
6719,726,Mato Grosso,FAZER
6720,727,Mato Grosso,FAZER
6721,728,Mato Grosso,FAZER
6722,729,Mato Grosso,FAZER
6723,730,Mato Grosso,FAZER
6724,731,Mato Grosso,FAZER
6725,732,Mato Grosso,FAZER
6726,733,Mato Grosso,FAZER
6727,734,Mato Grosso,FAZER
6728,735,Mato Grosso,FAZER
6729,736,Mato Grosso,FAZER
6730,737,Mato Grosso,FAZER
6731,738,Mato Grosso,FAZER
6732,739,Mato Grosso,FAZER
6733,740,Mato Grosso,FAZER
6734,741,Mato Grosso,FAZER
6735,742,Mato Grosso,FAZER
6736,743,Mato Grosso,FAZER
6737,744,Mato Grosso,FAZER
6738,745,Mato Grosso,FAZER
6739,746,Mato Grosso,FAZER
6740,747,Mato Grosso,FAZER
6741,748,Mato Grosso,FAZER
6742,749,Mato Grosso,FAZER
6743,750,Mato Grosso,FAZER
6744,751,Mato Grosso,FAZER
6745,752,Mato Grosso,FAZER
6746,753,Mato Grosso,FAZER
6747,754,Mato Grosso,FAZER
6748,755,Mato Grosso,FAZER
