,preco,marca,status
0,1,Bahia,FAZER
1,2,Bahia,FAZER
2,3,Bahia,FAZER
3,4,Bahia,FAZER
4,5,Bahia,FAZER
5,6,Bahia,FAZER
6,7,Bahia,FAZER
7,8,Bahia,FAZER
8,9,Bahia,FAZER
9,10,Bahia,FAZER
10,11,Bahia,FAZER
11,12,Bahia,FAZER
12,13,Bahia,FAZER
13,14,Bahia,FAZER
14,15,Bahia,FAZER
15,16,Bahia,FAZER
16,17,Bahia,FAZER
17,18,Bahia,FAZER
18,19,Bahia,FAZER
19,20,Bahia,FAZER
20,21,Bahia,FAZER
21,22,Bahia,FAZER
22,23,Bahia,FAZER
23,24,Bahia,FAZER
24,25,Bahia,FAZER
25,26,Bahia,FAZER
26,27,Bahia,FAZER
27,28,Bahia,FAZER
28,29,Bahia,FAZER
29,30,Bahia,FAZER
30,31,Bahia,FAZER
31,32,Bahia,FAZER
32,33,Bahia,FAZER
33,34,Bahia,FAZER
34,35,Bahia,FAZER
35,36,Bahia,FAZER
36,37,Bahia,FAZER
37,38,Bahia,FAZER
38,39,Bahia,FAZER
39,40,Bahia,FAZER
40,41,Bahia,FAZER
41,42,Bahia,FAZER
42,43,Bahia,FAZER
43,44,Bahia,FAZER
44,45,Bahia,FAZER
45,46,Bahia,FAZER
46,47,Bahia,FAZER
47,48,Bahia,FAZER
48,49,Bahia,FAZER
49,50,Bahia,FAZER
50,51,Bahia,FAZER
51,52,Bahia,FAZER
52,53,Bahia,FAZER
53,54,Bahia,FAZER
54,55,Bahia,FAZER
55,56,Bahia,FAZER
56,57,Bahia,FAZER
57,58,Bahia,FAZER
58,59,Bahia,FAZER
59,60,Bahia,FAZER
60,61,Bahia,FAZER
61,62,Bahia,FAZER
62,63,Bahia,FAZER
63,64,Bahia,FAZER
64,65,Bahia,FAZER
65,66,Bahia,FAZER
66,67,Bahia,FAZER
67,68,Bahia,FAZER
68,69,Bahia,FAZER
69,70,Bahia,FAZER
70,71,Bahia,FAZER
71,72,Bahia,FAZER
72,73,Bahia,FAZER
73,74,Bahia,FAZER
74,75,Bahia,FAZER
75,76,Bahia,FAZER
76,77,Bahia,FAZER
77,78,Bahia,FAZER
78,79,Bahia,FAZER
79,80,Bahia,FAZER
80,81,Bahia,FAZER
81,82,Bahia,FAZER
82,83,Bahia,FAZER
83,84,Bahia,FAZER
84,85,Bahia,FAZER
85,86,Bahia,FAZER
86,87,Bahia,FAZER
87,88,Bahia,FAZER
88,89,Bahia,FAZER
89,90,Bahia,FAZER
90,91,Bahia,FAZER
91,92,Bahia,FAZER
92,93,Bahia,FAZER
93,94,Bahia,FAZER
94,95,Bahia,FAZER
95,96,Bahia,FAZER
96,97,Bahia,FAZER
97,98,Bahia,FAZER
98,99,Bahia,FAZER
99,100,Bahia,FAZER
100,101,Bahia,FAZER
101,102,Bahia,FAZER
102,103,Bahia,FAZER
103,104,Bahia,FAZER
104,105,Bahia,FAZER
105,106,Bahia,FAZER
106,107,Bahia,FAZER
107,108,Bahia,FAZER
108,109,Bahia,FAZER
109,110,Bahia,FAZER
110,111,Bahia,FAZER
111,112,Bahia,FAZER
112,113,Bahia,FAZER
113,114,Bahia,FAZER
114,115,Bahia,FAZER
115,116,Bahia,FAZER
116,117,Bahia,FAZER
117,118,Bahia,FAZER
118,119,Bahia,FAZER
119,120,Bahia,FAZER
120,121,Bahia,FAZER
121,122,Bahia,FAZER
122,123,Bahia,FAZER
123,124,Bahia,FAZER
124,125,Bahia,FAZER
125,126,Bahia,FAZER
126,127,Bahia,FAZER
127,128,Bahia,FAZER
128,129,Bahia,FAZER
129,130,Bahia,FAZER
130,131,Bahia,FAZER
131,132,Bahia,FAZER
132,133,Bahia,FAZER
133,134,Bahia,FAZER
134,135,Bahia,FAZER
135,136,Bahia,FAZER
136,137,Bahia,FAZER
137,138,Bahia,FAZER
138,139,Bahia,FAZER
139,140,Bahia,FAZER
140,141,Bahia,FAZER
141,142,Bahia,FAZER
142,143,Bahia,FAZER
143,144,Bahia,FAZER
144,145,Bahia,FAZER
145,146,Bahia,FAZER
146,147,Bahia,FAZER
147,148,Bahia,FAZER
148,149,Bahia,FAZER
149,150,Bahia,FAZER
150,151,Bahia,FAZER
151,152,Bahia,FAZER
152,153,Bahia,FAZER
153,154,Bahia,FAZER
154,155,Bahia,FAZER
155,156,Bahia,FAZER
156,157,Bahia,FAZER
157,158,Bahia,FAZER
158,159,Bahia,FAZER
159,160,Bahia,FAZER
160,161,Bahia,FAZER
161,162,Bahia,FAZER
162,163,Bahia,FAZER
163,164,Bahia,FAZER
164,165,Bahia,FAZER
165,166,Bahia,FAZER
166,167,Bahia,FAZER
167,168,Bahia,FAZER
168,169,Bahia,FAZER
169,170,Bahia,FAZER
170,171,Bahia,FAZER
171,172,Bahia,FAZER
172,173,Bahia,FAZER
173,174,Bahia,FAZER
174,175,Bahia,FAZER
175,176,Bahia,FAZER
176,177,Bahia,FAZER
177,178,Bahia,FAZER
178,179,Bahia,FAZER
179,180,Bahia,FAZER
180,181,Bahia,FAZER
181,182,Bahia,FAZER
182,183,Bahia,FAZER
183,184,Bahia,FAZER
184,185,Bahia,FAZER
185,186,Bahia,FAZER
186,187,Bahia,FAZER
187,188,Bahia,FAZER
188,189,Bahia,FAZER
189,190,Bahia,FAZER
190,191,Bahia,FAZER
191,192,Bahia,FAZER
192,193,Bahia,FAZER
193,194,Bahia,FAZER
194,195,Bahia,FAZER
195,196,Bahia,FAZER
196,197,Bahia,FAZER
197,198,Bahia,FAZER
198,199,Bahia,FAZER
199,200,Bahia,FAZER
200,201,Bahia,FAZER
201,202,Bahia,FAZER
202,203,Bahia,FAZER
203,204,Bahia,FAZER
204,205,Bahia,FAZER
205,206,Bahia,FAZER
206,207,Bahia,FAZER
207,208,Bahia,FAZER
208,209,Bahia,FAZER
209,210,Bahia,FAZER
210,211,Bahia,FAZER
211,212,Bahia,FAZER
212,213,Bahia,FAZER
213,214,Bahia,FAZER
214,215,Bahia,FAZER
215,216,Bahia,FAZER
216,217,Bahia,FAZER
217,218,Bahia,FAZER
218,219,Bahia,FAZER
219,220,Bahia,FAZER
220,221,Bahia,FAZER
221,222,Bahia,FAZER
222,223,Bahia,FAZER
223,224,Bahia,FAZER
224,225,Bahia,FAZER
225,226,Bahia,FAZER
226,227,Bahia,FAZER
227,228,Bahia,FAZER
228,229,Bahia,FAZER
229,230,Bahia,FAZER
230,231,Bahia,FAZER
231,232,Bahia,FAZER
232,233,Bahia,FAZER
233,234,Bahia,FAZER
234,235,Bahia,FAZER
235,236,Bahia,FAZER
236,237,Bahia,FAZER
237,238,Bahia,FAZER
238,239,Bahia,FAZER
239,240,Bahia,FAZER
240,241,Bahia,FAZER
241,242,Bahia,FAZER
242,243,Bahia,FAZER
243,244,Bahia,FAZER
244,245,Bahia,FAZER
245,246,Bahia,FAZER
246,247,Bahia,FAZER
247,248,Bahia,FAZER
248,249,Bahia,FAZER
249,250,Bahia,FAZER
250,251,Bahia,FAZER
251,252,Bahia,FAZER
252,253,Bahia,FAZER
253,254,Bahia,FAZER
254,255,Bahia,FAZER
255,256,Bahia,FAZER
256,257,Bahia,FAZER
257,258,Bahia,FAZER
258,259,Bahia,FAZER
259,260,Bahia,FAZER
260,261,Bahia,FAZER
261,262,Bahia,FAZER
262,263,Bahia,FAZER
263,264,Bahia,FAZER
264,265,Bahia,FAZER
265,266,Bahia,FAZER
266,267,Bahia,FAZER
267,268,Bahia,FAZER
268,269,Bahia,FAZER
269,270,Bahia,FAZER
270,271,Bahia,FAZER
271,272,Bahia,FAZER
272,273,Bahia,FAZER
273,274,Bahia,FAZER
274,275,Bahia,FAZER
275,276,Bahia,FAZER
276,277,Bahia,FAZER
277,278,Bahia,FAZER
278,279,Bahia,FAZER
279,280,Bahia,FAZER
280,281,Bahia,FAZER
281,282,Bahia,FAZER
282,283,Bahia,FAZER
283,284,Bahia,FAZER
284,285,Bahia,FAZER
285,286,Bahia,FAZER
286,287,Bahia,FAZER
287,288,Bahia,FAZER
288,289,Bahia,FAZER
289,290,Bahia,FAZER
290,291,Bahia,FAZER
291,292,Bahia,FAZER
292,293,Bahia,FAZER
293,294,Bahia,FAZER
294,295,Bahia,FAZER
295,296,Bahia,FAZER
296,297,Bahia,FAZER
297,298,Bahia,FAZER
298,299,Bahia,FAZER
299,300,Bahia,FAZER
300,301,Bahia,FAZER
301,302,Bahia,FAZER
302,303,Bahia,FAZER
303,304,Bahia,FAZER
304,305,Bahia,FAZER
305,306,Bahia,FAZER
306,307,Bahia,FAZER
307,308,Bahia,FAZER
308,309,Bahia,FAZER
309,310,Bahia,FAZER
310,311,Bahia,FAZER
311,312,Bahia,FAZER
312,313,Bahia,FAZER
313,314,Bahia,FAZER
314,315,Bahia,FAZER
315,316,Bahia,FAZER
316,317,Bahia,FAZER
317,318,Bahia,FAZER
318,319,Bahia,FAZER
319,320,Bahia,FAZER
320,321,Bahia,FAZER
321,322,Bahia,FAZER
322,323,Bahia,FAZER
323,324,Bahia,FAZER
324,325,Bahia,FAZER
325,326,Bahia,FAZER
326,327,Bahia,FAZER
327,328,Bahia,FAZER
328,329,Bahia,FAZER
329,330,Bahia,FAZER
330,331,Bahia,FAZER
331,332,Bahia,FAZER
332,333,Bahia,FAZER
333,334,Bahia,FAZER
334,335,Bahia,FAZER
335,336,Bahia,FAZER
336,337,Bahia,FAZER
337,338,Bahia,FAZER
338,339,Bahia,FAZER
339,340,Bahia,FAZER
340,341,Bahia,FAZER
341,342,Bahia,FAZER
342,343,Bahia,FAZER
343,344,Bahia,FAZER
344,345,Bahia,FAZER
345,346,Bahia,FAZER
346,347,Bahia,FAZER
347,348,Bahia,FAZER
348,349,Bahia,FAZER
349,350,Bahia,FAZER
350,351,Bahia,FAZER
351,352,Bahia,FAZER
352,353,Bahia,FAZER
353,354,Bahia,FAZER
354,355,Bahia,FAZER
355,356,Bahia,FAZER
356,357,Bahia,FAZER
357,358,Bahia,FAZER
358,359,Bahia,FAZER
359,360,Bahia,FAZER
360,361,Bahia,FAZER
361,362,Bahia,FAZER
362,363,Bahia,FAZER
363,364,Bahia,FAZER
364,365,Bahia,FAZER
365,366,Bahia,FAZER
366,367,Bahia,FAZER
367,368,Bahia,FAZER
368,369,Bahia,FAZER
369,370,Bahia,FAZER
370,371,Bahia,FAZER
371,372,Bahia,FAZER
372,373,Bahia,FAZER
373,374,Bahia,FAZER
374,375,Bahia,FAZER
375,376,Bahia,FAZER
376,377,Bahia,FAZER
377,378,Bahia,FAZER
378,379,Bahia,FAZER
379,380,Bahia,FAZER
380,381,Bahia,FAZER
381,382,Bahia,FAZER
382,383,Bahia,FAZER
383,384,Bahia,FAZER
384,385,Bahia,FAZER
385,386,Bahia,FAZER
386,387,Bahia,FAZER
387,388,Bahia,FAZER
388,389,Bahia,FAZER
389,390,Bahia,FAZER
390,391,Bahia,FAZER
391,392,Bahia,FAZER
392,393,Bahia,FAZER
393,394,Bahia,FAZER
394,395,Bahia,FAZER
395,396,Bahia,FAZER
396,397,Bahia,FAZER
397,398,Bahia,FAZER
398,399,Bahia,FAZER
399,400,Bahia,FAZER
400,401,Bahia,FAZER
401,402,Bahia,FAZER
402,403,Bahia,FAZER
403,404,Bahia,FAZER
404,405,Bahia,FAZER
405,406,Bahia,FAZER
406,407,Bahia,FAZER
