,preco,marca,status
15185,201,Rio Grande do Sul,FAZER
15186,202,Rio Grande do Sul,FAZER
15187,203,Rio Grande do Sul,FAZER
15188,204,Rio Grande do Sul,FAZER
15189,205,Rio Grande do Sul,FAZER
15190,206,Rio Grande do Sul,FAZER
15191,207,Rio Grande do Sul,FAZER
15192,208,Rio Grande do Sul,FAZER
15193,209,Rio Grande do Sul,FAZER
15194,210,Rio Grande do Sul,FAZER
15195,211,Rio Grande do Sul,FAZER
15196,212,Rio Grande do Sul,FAZER
15197,213,Rio Grande do Sul,FAZER
15198,214,Rio Grande do Sul,FAZER
15199,215,Rio Grande do Sul,FAZER
15200,216,Rio Grande do Sul,FAZER
15201,217,Rio Grande do Sul,FAZER
15202,218,Rio Grande do Sul,FAZER
15203,219,Rio Grande do Sul,FAZER
15204,220,Rio Grande do Sul,FAZER
15205,221,Rio Grande do Sul,FAZER
15206,222,Rio Grande do Sul,FAZER
15207,223,Rio Grande do Sul,FAZER
15208,224,Rio Grande do Sul,FAZER
15209,225,Rio Grande do Sul,FAZER
15210,226,Rio Grande do Sul,FAZER
15211,227,Rio Grande do Sul,FAZER
15212,228,Rio Grande do Sul,FAZER
15213,229,Rio Grande do Sul,FAZER
15214,230,Rio Grande do Sul,FAZER
15215,231,Rio Grande do Sul,FAZER
15216,232,Rio Grande do Sul,FAZER
15217,233,Rio Grande do Sul,FAZER
15218,234,Rio Grande do Sul,FAZER
15219,235,Rio Grande do Sul,FAZER
15220,236,Rio Grande do Sul,FAZER
15221,237,Rio Grande do Sul,FAZER
15222,238,Rio Grande do Sul,FAZER
15223,239,Rio Grande do Sul,FAZER
15224,240,Rio Grande do Sul,FAZER
15225,241,Rio Grande do Sul,FAZER
15226,242,Rio Grande do Sul,FAZER
15227,243,Rio Grande do Sul,FAZER
15228,244,Rio Grande do Sul,FAZER
15229,245,Rio Grande do Sul,FAZER
15230,246,Rio Grande do Sul,FAZER
15231,247,Rio Grande do Sul,FAZER
15232,248,Rio Grande do Sul,FAZER
15233,249,Rio Grande do Sul,FAZER
15234,250,Rio Grande do Sul,FAZER
15235,251,Rio Grande do Sul,FAZER
15236,252,Rio Grande do Sul,FAZER
15237,253,Rio Grande do Sul,FAZER
15238,254,Rio Grande do Sul,FAZER
15239,255,Rio Grande do Sul,FAZER
15240,256,Rio Grande do Sul,FAZER
15241,257,Rio Grande do Sul,FAZER
15242,258,Rio Grande do Sul,FAZER
15243,259,Rio Grande do Sul,FAZER
15244,260,Rio Grande do Sul,FAZER
15245,261,Rio Grande do Sul,FAZER
15246,262,Rio Grande do Sul,FAZER
15247,263,Rio Grande do Sul,FAZER
15248,264,Rio Grande do Sul,FAZER
15249,265,Rio Grande do Sul,FAZER
15250,266,Rio Grande do Sul,FAZER
15251,267,Rio Grande do Sul,FAZER
15252,268,Rio Grande do Sul,FAZER
15253,269,Rio Grande do Sul,FAZER
15254,270,Rio Grande do Sul,FAZER
15255,271,Rio Grande do Sul,FAZER
15256,272,Rio Grande do Sul,FAZER
15257,273,Rio Grande do Sul,FAZER
15258,274,Rio Grande do Sul,FAZER
15259,275,Rio Grande do Sul,FAZER
15260,276,Rio Grande do Sul,FAZER
15261,277,Rio Grande do Sul,FAZER
15262,278,Rio Grande do Sul,FAZER
15263,279,Rio Grande do Sul,FAZER
15264,280,Rio Grande do Sul,FAZER
15265,281,Rio Grande do Sul,FAZER
15266,282,Rio Grande do Sul,FAZER
15267,283,Rio Grande do Sul,FAZER
15268,284,Rio Grande do Sul,FAZER
15269,285,Rio Grande do Sul,FAZER
15270,286,Rio Grande do Sul,FAZER
15271,287,Rio Grande do Sul,FAZER
15272,288,Rio Grande do Sul,FAZER
15273,289,Rio Grande do Sul,FAZER
15274,290,Rio Grande do Sul,FAZER
15275,291,Rio Grande do Sul,FAZER
15276,292,Rio Grande do Sul,FAZER
15277,293,Rio Grande do Sul,FAZER
15278,294,Rio Grande do Sul,FAZER
15279,295,Rio Grande do Sul,FAZER
15280,296,Rio Grande do Sul,FAZER
15281,297,Rio Grande do Sul,FAZER
15282,298,Rio Grande do Sul,FAZER
15283,299,Rio Grande do Sul,FAZER
15284,300,Rio Grande do Sul,FAZER
15285,301,Rio Grande do Sul,FAZER
15286,302,Rio Grande do Sul,FAZER
15287,303,Rio Grande do Sul,FAZER
15288,304,Rio Grande do Sul,FAZER
15289,305,Rio Grande do Sul,FAZER
15290,306,Rio Grande do Sul,FAZER
15291,307,Rio Grande do Sul,FAZER
15292,308,Rio Grande do Sul,FAZER
15293,309,Rio Grande do Sul,FAZER
15294,310,Rio Grande do Sul,FAZER
15295,311,Rio Grande do Sul,FAZER
15296,312,Rio Grande do Sul,FAZER
15297,313,Rio Grande do Sul,FAZER
15298,314,Rio Grande do Sul,FAZER
15299,315,Rio Grande do Sul,FAZER
15300,316,Rio Grande do Sul,FAZER
15301,317,Rio Grande do Sul,FAZER
15302,318,Rio Grande do Sul,FAZER
15303,319,Rio Grande do Sul,FAZER
15304,320,Rio Grande do Sul,FAZER
15305,321,Rio Grande do Sul,FAZER
15306,322,Rio Grande do Sul,FAZER
15307,323,Rio Grande do Sul,FAZER
15308,324,Rio Grande do Sul,FAZER
15309,325,Rio Grande do Sul,FAZER
15310,326,Rio Grande do Sul,FAZER
15311,327,Rio Grande do Sul,FAZER
15312,328,Rio Grande do Sul,FAZER
15313,329,Rio Grande do Sul,FAZER
15314,330,Rio Grande do Sul,FAZER
15315,331,Rio Grande do Sul,FAZER
15316,332,Rio Grande do Sul,FAZER
15317,333,Rio Grande do Sul,FAZER
15318,334,Rio Grande do Sul,FAZER
15319,335,Rio Grande do Sul,FAZER
15320,336,Rio Grande do Sul,FAZER
15321,337,Rio Grande do Sul,FAZER
15322,338,Rio Grande do Sul,FAZER
15323,339,Rio Grande do Sul,FAZER
15324,340,Rio Grande do Sul,FAZER
15325,341,Rio Grande do Sul,FAZER
15326,342,Rio Grande do Sul,FAZER
15327,343,Rio Grande do Sul,FAZER
