,preco,marca,status
17083,101,Sergipe,FAZER
17084,102,Sergipe,FAZER
17085,103,Sergipe,FAZER
17086,104,Sergipe,FAZER
17087,105,Sergipe,FAZER
17088,106,Sergipe,FAZER
17089,107,Sergipe,FAZER
17090,108,Sergipe,FAZER
17091,109,Sergipe,FAZER
17092,110,Sergipe,FAZER
17093,111,Sergipe,FAZER
17094,112,Sergipe,FAZER
17095,113,Sergipe,FAZER
17096,114,Sergipe,FAZER
17097,115,Sergipe,FAZER
17098,116,Sergipe,FAZER
17099,117,Sergipe,FAZER
17100,118,Sergipe,FAZER
17101,119,Sergipe,FAZER
17102,120,Sergipe,FAZER
17103,121,Sergipe,FAZER
17104,122,Sergipe,FAZER
17105,123,Sergipe,FAZER
17106,124,Sergipe,FAZER
17107,125,Sergipe,FAZER
17108,126,Sergipe,FAZER
17109,127,Sergipe,FAZER
17110,128,Sergipe,FAZER
17111,129,Sergipe,FAZER
17112,130,Sergipe,FAZER
17113,131,Sergipe,FAZER
17114,132,Sergipe,FAZER
17115,133,Sergipe,FAZER
17116,134,Sergipe,FAZER
17117,135,Sergipe,FAZER
17118,136,Sergipe,FAZER
17119,137,Sergipe,FAZER
17120,138,Sergipe,FAZER
17121,139,Sergipe,FAZER
17122,140,Sergipe,FAZER
17123,141,Sergipe,FAZER
17124,142,Sergipe,FAZER
17125,143,Sergipe,FAZER
17126,144,Sergipe,FAZER
17127,145,Sergipe,FAZER
17128,146,Sergipe,FAZER
17129,147,Sergipe,FAZER
17130,148,Sergipe,FAZER
17131,149,Sergipe,FAZER
17132,150,Sergipe,FAZER
17133,151,Sergipe,FAZER
17134,152,Sergipe,FAZER
17135,153,Sergipe,FAZER
17136,154,Sergipe,FAZER
17137,155,Sergipe,FAZER
17138,156,Sergipe,FAZER
17139,157,Sergipe,FAZER
17140,158,Sergipe,FAZER
17141,159,Sergipe,FAZER
17142,160,Sergipe,FAZER
17143,161,Sergipe,FAZER
17144,162,Sergipe,FAZER
17145,163,Sergipe,FAZER
17146,164,Sergipe,FAZER
17147,165,Sergipe,FAZER
17148,166,Sergipe,FAZER
17149,167,Sergipe,FAZER
17150,168,Sergipe,FAZER
17151,169,Sergipe,FAZER
17152,170,Sergipe,FAZER
17153,171,Sergipe,FAZER
17154,172,Sergipe,FAZER
17155,173,Sergipe,FAZER
17156,174,Sergipe,FAZER
17157,175,Sergipe,FAZER
17158,176,Sergipe,FAZER
17159,177,Sergipe,FAZER
17160,178,Sergipe,FAZER
17161,179,Sergipe,FAZER
17162,180,Sergipe,FAZER
