Unnamed: 0,preco,cidade,status
3153,157,Espírito Santo,FAZER
3154,158,Espírito Santo,FAZER
3155,159,Espírito Santo,FAZER
3156,160,Espírito Santo,FAZER
3157,161,Espírito Santo,FAZER
3158,162,Espírito Santo,FAZER
3159,163,Espírito Santo,FAZER
3160,164,Espírito Santo,FAZER
3161,165,Espírito Santo,FAZER
3162,166,Espírito Santo,FAZER
3163,167,Espírito Santo,FAZER
3164,168,Espírito Santo,FAZER
3165,169,Espírito Santo,FAZER
3166,170,Espírito Santo,FAZER
3167,171,Espírito Santo,FAZER
3168,172,Espírito Santo,FAZER
3169,173,Espírito Santo,FAZER
3170,174,Espírito Santo,FAZER
3171,175,Espírito Santo,FAZER
3172,176,Espírito Santo,FAZER
3173,177,Espírito Santo,FAZER
3174,178,Espírito Santo,FAZER
3175,179,Espírito Santo,FAZER
3176,180,Espírito Santo,FAZER
3177,181,Espírito Santo,FAZER
3178,182,Espírito Santo,FAZER
3179,183,Espírito Santo,FAZER
3180,184,Espírito Santo,FAZER
3181,185,Espírito Santo,FAZER
3182,186,Espírito Santo,FAZER
3183,187,Espírito Santo,FAZER
3184,188,Espírito Santo,FAZER
3185,189,Espírito Santo,FAZER
3186,190,Espírito Santo,FAZER
3187,191,Espírito Santo,FAZER
3188,192,Espírito Santo,FAZER
3189,193,Espírito Santo,FAZER
3190,194,Espírito Santo,FAZER
3191,195,Espírito Santo,FAZER
3192,196,Espírito Santo,FAZER
3193,197,Espírito Santo,FAZER
3194,198,Espírito Santo,FAZER
3195,199,Espírito Santo,FAZER
3196,200,Espírito Santo,FAZER
3197,201,Espírito Santo,FAZER
3198,202,Espírito Santo,FAZER
3199,203,Espírito Santo,FAZER
3200,204,Espírito Santo,FAZER
3201,205,Espírito Santo,FAZER
3202,206,Espírito Santo,FAZER
3203,207,Espírito Santo,FAZER
3204,208,Espírito Santo,FAZER
3205,209,Espírito Santo,FAZER
3206,210,Espírito Santo,FAZER
3207,211,Espírito Santo,FAZER
3208,212,Espírito Santo,FAZER
3209,213,Espírito Santo,FAZER
3210,214,Espírito Santo,FAZER
3211,215,Espírito Santo,FAZER
3212,216,Espírito Santo,FAZER
3213,217,Espírito Santo,FAZER
3214,218,Espírito Santo,FAZER
3215,219,Espírito Santo,FAZER
3216,220,Espírito Santo,FAZER
3217,221,Espírito Santo,FAZER
3218,222,Espírito Santo,FAZER
3219,223,Espírito Santo,FAZER
3220,224,Espírito Santo,FAZER
3221,225,Espírito Santo,FAZER
3222,226,Espírito Santo,FAZER
3223,227,Espírito Santo,FAZER
3224,228,Espírito Santo,FAZER
3225,229,Espírito Santo,FAZER
3226,230,Espírito Santo,FAZER
3227,231,Espírito Santo,FAZER
3228,232,Espírito Santo,FAZER
3229,233,Espírito Santo,FAZER
3230,234,Espírito Santo,FAZER
3231,235,Espírito Santo,FAZER
3232,236,Espírito Santo,FAZER
3233,237,Espírito Santo,FAZER
3234,238,Espírito Santo,FAZER
3235,239,Espírito Santo,FAZER
3236,240,Espírito Santo,FAZER
3237,241,Espírito Santo,FAZER
3238,242,Espírito Santo,FAZER
3239,243,Espírito Santo,FAZER
3240,244,Espírito Santo,FAZER
3241,245,Espírito Santo,FAZER
3242,246,Espírito Santo,FAZER
3243,247,Espírito Santo,FAZER
3244,248,Espírito Santo,FAZER
3245,249,Espírito Santo,FAZER
3246,250,Espírito Santo,FAZER
3247,251,Espírito Santo,FAZER
3248,252,Espírito Santo,FAZER
3249,253,Espírito Santo,FAZER
3250,254,Espírito Santo,FAZER
3251,255,Espírito Santo,FAZER
3252,256,Espírito Santo,FAZER
3253,257,Espírito Santo,FAZER
3254,258,Espírito Santo,FAZER
3255,259,Espírito Santo,FAZER
3256,260,Espírito Santo,FAZER
3257,261,Espírito Santo,FAZER
3258,262,Espírito Santo,FAZER
3259,263,Espírito Santo,FAZER
3260,264,Espírito Santo,FAZER
3261,265,Espírito Santo,FAZER
3262,266,Espírito Santo,FAZER
3263,267,Espírito Santo,FAZER
3264,268,Espírito Santo,FAZER
3265,269,Espírito Santo,FAZER
3266,270,Espírito Santo,FAZER
3267,271,Espírito Santo,FAZER
3268,272,Espírito Santo,FAZER
3269,273,Espírito Santo,FAZER
3270,274,Espírito Santo,FAZER
3271,275,Espírito Santo,FAZER
3272,276,Espírito Santo,FAZER
3273,277,Espírito Santo,FAZER
3274,278,Espírito Santo,FAZER
3275,279,Espírito Santo,FAZER
3276,280,Espírito Santo,FAZER
3277,281,Espírito Santo,FAZER
3278,282,Espírito Santo,FAZER
3279,283,Espírito Santo,FAZER
3280,284,Espírito Santo,FAZER
3281,285,Espírito Santo,FAZER
3282,286,Espírito Santo,FAZER
3283,287,Espírito Santo,FAZER
3284,288,Espírito Santo,FAZER
3285,289,Espírito Santo,FAZER
