,preco,cidade,status
15285,301,Santa Catarina,FAZER
15286,302,Santa Catarina,FAZER
15287,303,Santa Catarina,FAZER
15288,304,Santa Catarina,FAZER
15289,305,Santa Catarina,FAZER
15290,306,Santa Catarina,FAZER
15291,307,Santa Catarina,FAZER
15292,308,Santa Catarina,FAZER
15293,309,Santa Catarina,FAZER
15294,310,Santa Catarina,FAZER
15295,311,Santa Catarina,FAZER
15296,312,Santa Catarina,FAZER
15297,313,Santa Catarina,FAZER
15298,314,Santa Catarina,FAZER
15299,315,Santa Catarina,FAZER
15300,316,Santa Catarina,FAZER
15301,317,Santa Catarina,FAZER
15302,318,Santa Catarina,FAZER
15303,319,Santa Catarina,FAZER
15304,320,Santa Catarina,FAZER
15305,321,Santa Catarina,FAZER
15306,322,Santa Catarina,FAZER
15307,323,Santa Catarina,FAZER
15308,324,Santa Catarina,FAZER
15309,325,Santa Catarina,FAZER
15310,326,Santa Catarina,FAZER
15311,327,Santa Catarina,FAZER
15312,328,Santa Catarina,FAZER
15313,329,Santa Catarina,FAZER
15314,330,Santa Catarina,FAZER
15315,331,Santa Catarina,FAZER
15316,332,Santa Catarina,FAZER
15317,333,Santa Catarina,FAZER
15318,334,Santa Catarina,FAZER
15319,335,Santa Catarina,FAZER
15320,336,Santa Catarina,FAZER
15321,337,Santa Catarina,FAZER
15322,338,Santa Catarina,FAZER
15323,339,Santa Catarina,FAZER
15324,340,Santa Catarina,FAZER
15325,341,Santa Catarina,FAZER
15326,342,Santa Catarina,FAZER
15327,343,Santa Catarina,FAZER
15328,344,Santa Catarina,FAZER
15329,345,Santa Catarina,FAZER
15330,346,Santa Catarina,FAZER
15331,347,Santa Catarina,FAZER
15332,348,Santa Catarina,FAZER
15333,349,Santa Catarina,FAZER
15334,350,Santa Catarina,FAZER
15335,351,Santa Catarina,FAZER
15336,352,Santa Catarina,FAZER
15337,353,Santa Catarina,FAZER
15338,354,Santa Catarina,FAZER
15339,355,Santa Catarina,FAZER
15340,356,Santa Catarina,FAZER
15341,357,Santa Catarina,FAZER
15342,358,Santa Catarina,FAZER
15343,359,Santa Catarina,FAZER
15344,360,Santa Catarina,FAZER
15345,361,Santa Catarina,FAZER
15346,362,Santa Catarina,FAZER
15347,363,Santa Catarina,FAZER
15348,364,Santa Catarina,FAZER
15349,365,Santa Catarina,FAZER
15350,366,Santa Catarina,FAZER
15351,367,Santa Catarina,FAZER
15352,368,Santa Catarina,FAZER
15353,369,Santa Catarina,FAZER
15354,370,Santa Catarina,FAZER
15355,371,Santa Catarina,FAZER
15356,372,Santa Catarina,FAZER
15357,373,Santa Catarina,FAZER
15358,374,Santa Catarina,FAZER
15359,375,Santa Catarina,FAZER
15360,376,Santa Catarina,FAZER
15361,377,Santa Catarina,FAZER
15362,378,Santa Catarina,FAZER
15363,379,Santa Catarina,FAZER
15364,380,Santa Catarina,FAZER
15365,381,Santa Catarina,FAZER
15366,382,Santa Catarina,FAZER
15367,383,Santa Catarina,FAZER
15368,384,Santa Catarina,FAZER
15369,385,Santa Catarina,FAZER
15370,386,Santa Catarina,FAZER
15371,387,Santa Catarina,FAZER
15372,388,Santa Catarina,FAZER
15373,389,Santa Catarina,FAZER
15374,390,Santa Catarina,FAZER
15375,391,Santa Catarina,FAZER
15376,392,Santa Catarina,FAZER
15377,393,Santa Catarina,FAZER
15378,394,Santa Catarina,FAZER
15379,395,Santa Catarina,FAZER
15380,396,Santa Catarina,FAZER
15381,397,Santa Catarina,FAZER
15382,398,Santa Catarina,FAZER
15383,399,Santa Catarina,FAZER
15384,400,Santa Catarina,FAZER
15385,401,Santa Catarina,FAZER
15386,402,Santa Catarina,FAZER
15387,403,Santa Catarina,FAZER
15388,404,Santa Catarina,FAZER
15389,405,Santa Catarina,FAZER
15390,406,Santa Catarina,FAZER
15391,407,Santa Catarina,FAZER
15392,408,Santa Catarina,FAZER
15393,409,Santa Catarina,FAZER
15394,410,Santa Catarina,FAZER
15395,411,Santa Catarina,FAZER
15396,412,Santa Catarina,FAZER
15397,413,Santa Catarina,FAZER
15398,414,Santa Catarina,FAZER
15399,415,Santa Catarina,FAZER
15400,416,Santa Catarina,FAZER
15401,417,Santa Catarina,FAZER
15402,418,Santa Catarina,FAZER
15403,419,Santa Catarina,FAZER
15404,420,Santa Catarina,FAZER
15405,421,Santa Catarina,FAZER
15406,422,Santa Catarina,FAZER
15407,423,Santa Catarina,FAZER
15408,424,Santa Catarina,FAZER
15409,425,Santa Catarina,FAZER
15410,426,Santa Catarina,FAZER
15411,427,Santa Catarina,FAZER
15412,428,Santa Catarina,FAZER
15413,429,Santa Catarina,FAZER
15414,430,Santa Catarina,FAZER
15415,431,Santa Catarina,FAZER
15416,432,Santa Catarina,FAZER
15417,433,Santa Catarina,FAZER
15418,434,Santa Catarina,FAZER
15419,435,Santa Catarina,FAZER
15420,436,Santa Catarina,FAZER
15421,437,Santa Catarina,FAZER
15422,438,Santa Catarina,FAZER
15423,439,Santa Catarina,FAZER
15424,440,Santa Catarina,FAZER
15425,441,Santa Catarina,FAZER
15426,442,Santa Catarina,FAZER
15427,443,Santa Catarina,FAZER
15428,444,Santa Catarina,FAZER
15429,445,Santa Catarina,FAZER
15430,446,Santa Catarina,FAZER
15431,447,Santa Catarina,FAZER
15432,448,Santa Catarina,FAZER
15433,449,Santa Catarina,FAZER
15434,450,Santa Catarina,FAZER
15435,451,Santa Catarina,FAZER
15436,452,Santa Catarina,FAZER
15437,453,Santa Catarina,FAZER
15438,454,Santa Catarina,FAZER
15439,455,Santa Catarina,FAZER
15440,456,Santa Catarina,FAZER
15441,457,Santa Catarina,FAZER
15442,458,Santa Catarina,FAZER
15443,459,Santa Catarina,FAZER
15444,460,Santa Catarina,FAZER
15445,461,Santa Catarina,FAZER
15446,462,Santa Catarina,FAZER
15447,463,Santa Catarina,FAZER
15448,464,Santa Catarina,FAZER
15449,465,Santa Catarina,FAZER
15450,466,Santa Catarina,FAZER
15451,467,Santa Catarina,FAZER
15452,468,Santa Catarina,FAZER
15453,469,Santa Catarina,FAZER
15454,470,Santa Catarina,FAZER
15455,471,Santa Catarina,FAZER
15456,472,Santa Catarina,FAZER
15457,473,Santa Catarina,FAZER
15458,474,Santa Catarina,FAZER
15459,475,Santa Catarina,FAZER
15460,476,Santa Catarina,FAZER
15461,477,Santa Catarina,FAZER
15462,478,Santa Catarina,FAZER
15463,479,Santa Catarina,FAZER
15464,480,Santa Catarina,FAZER
15465,481,Santa Catarina,FAZER
15466,482,Santa Catarina,FAZER
15467,483,Santa Catarina,FAZER
15468,484,Santa Catarina,FAZER
15469,485,Santa Catarina,FAZER
15470,486,Santa Catarina,FAZER
15471,487,Santa Catarina,FAZER
15472,488,Santa Catarina,FAZER
15473,489,Santa Catarina,FAZER
15474,490,Santa Catarina,FAZER
15475,491,Santa Catarina,FAZER
15476,492,Santa Catarina,FAZER
15477,493,Santa Catarina,FAZER
15478,494,Santa Catarina,FAZER
15479,495,Santa Catarina,FAZER
15480,496,Santa Catarina,FAZER
15481,497,Santa Catarina,FAZER
15482,498,Santa Catarina,FAZER
15483,499,Santa Catarina,FAZER
15484,500,Santa Catarina,FAZER
15485,501,Santa Catarina,FAZER
15486,502,Santa Catarina,FAZER
15487,503,Santa Catarina,FAZER
15488,504,Santa Catarina,FAZER
15489,505,Santa Catarina,FAZER
15490,506,Santa Catarina,FAZER
15491,507,Santa Catarina,FAZER
15492,508,Santa Catarina,FAZER
15493,509,Santa Catarina,FAZER
15494,510,Santa Catarina,FAZER
15495,511,Santa Catarina,FAZER
15496,512,Santa Catarina,FAZER
15497,513,Santa Catarina,FAZER
15498,514,Santa Catarina,FAZER
15499,515,Santa Catarina,FAZER
15500,516,Santa Catarina,FAZER
15501,517,Santa Catarina,FAZER
15502,518,Santa Catarina,FAZER
15503,519,Santa Catarina,FAZER
15504,520,Santa Catarina,FAZER
15505,521,Santa Catarina,FAZER
15506,522,Santa Catarina,FAZER
15507,523,Santa Catarina,FAZER
15508,524,Santa Catarina,FAZER
15509,525,Santa Catarina,FAZER
15510,526,Santa Catarina,FAZER
15511,527,Santa Catarina,FAZER
15512,528,Santa Catarina,FAZER
15513,529,Santa Catarina,FAZER
15514,530,Santa Catarina,FAZER
15515,531,Santa Catarina,FAZER
15516,532,Santa Catarina,FAZER
15517,533,Santa Catarina,FAZER
15518,534,Santa Catarina,FAZER
15519,535,Santa Catarina,FAZER
15520,536,Santa Catarina,FAZER
15521,537,Santa Catarina,FAZER
15522,538,Santa Catarina,FAZER
15523,539,Santa Catarina,FAZER
15524,540,Santa Catarina,FAZER
15525,541,Santa Catarina,FAZER
15526,542,Santa Catarina,FAZER
15527,543,Santa Catarina,FAZER
15528,544,Santa Catarina,FAZER
15529,545,Santa Catarina,FAZER
15530,546,Santa Catarina,FAZER
15531,547,Santa Catarina,FAZER
15532,548,Santa Catarina,FAZER
15533,549,Santa Catarina,FAZER
15534,550,Santa Catarina,FAZER
15535,551,Santa Catarina,FAZER
15536,552,Santa Catarina,FAZER
15537,553,Santa Catarina,FAZER
15538,554,Santa Catarina,FAZER
15539,555,Santa Catarina,FAZER
15540,556,Santa Catarina,FAZER
15541,557,Santa Catarina,FAZER
15542,558,Santa Catarina,FAZER
15543,559,Santa Catarina,FAZER
15544,560,Santa Catarina,FAZER
15545,561,Santa Catarina,FAZER
15546,562,Santa Catarina,FAZER
15547,563,Santa Catarina,FAZER
15548,564,Santa Catarina,FAZER
15549,565,Santa Catarina,FAZER
15550,566,Santa Catarina,FAZER
15551,567,Santa Catarina,FAZER
15552,568,Santa Catarina,FAZER
15553,569,Santa Catarina,FAZER
15554,570,Santa Catarina,FAZER
15555,571,Santa Catarina,FAZER
