,urls
0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2cnNFY5NwX%2B0SJblsqyhXTeqP%2F%2BhaBD5lCLYoRMKBX6oZgC3YNDrYrPSh2igspmvUvoNP%2FvmLAxCUCrDKa5ZnypBBF7%2FslAx5ELKD6Zo2ADwkd4MXtaoipmC4ldtv0Gy0lAFo1IJi4YKrBUFJo0KswPOhlRjKM5UG4pEX%2BDI5P0x34Ggv82g%2FR2NK%2B3wpFO9qapkPp%2FfIY%2FJFTFlRtqjfsCnvTM27HKWj2c8crII6EN2rrmQW6R61LiVTBs3cKczTlDXbVQpKy62u8b3W2CMFW6c%2BGN%2B8smsSpdBcoHgKTkRmSGnjAqWDGuUyfolQd0NWwytCANVLhGZCRdFPgyJ2LIkp0IomSYAt77iOEnz%2FBAReq8XS4%2FLKbKU9Vxo3Biknt0dNlMzwid%2FZ%2Byr%2BuoDq0E4KzyXfAWE4dBWJ78qENCeIzNf14ROoWPZkfA269ZP5hGPpzB%2BT81U2n2zHl68yrvATAfoEpNoQxSY2RIpGMgHfevGjTi2i2zRMqPgNwyEJWEqDW7DiQsFTI%2FgpySutdwPBgndlNeM5A43Sjc0%2BZN2sWhMZqjz3oVPxhqOFyv%2FuohRXqGzkN9izlKeg5snCk%2FCE6yb30ZnRfj6nZAZHWxUiCERr6%2B0ppwgijp2iuvSa6J3hh13fZwtLRm9iZjAsOY7Fvji7LmwtrLA6uZ8Vip7i%2FTsfjGfSeEByOoudvg7SmPNnU%2B40Lvvfbk7bLIfDaVd1E2UUqtI0Z5iQzpzNzVquTwGWFUSFkOXLjAfvCjW6nE%2FE5bESYWkaemZ13e1EIpuOQKbYLy4WWWRYPXzlXH35jxjI8k2aQlakjGZ5YBYwG4NN8eEQWgY6s%2BeA5W1fWrTpWkgFzQ3u49O4%2Bys5POHSt65pI1aSqqLLygh%2BZycZ02Asfz2PwyHQkwjejz3RrvL1TA9eSdxGWNlNvlZPewNM2Aq1xW6ns6RSpWDDU9nCRHqWZZQhbiIV%2BX24tR9RJjveeTnM9fk%2FAu9M6jIgNqk7u1AAMqtxSyV5djws2nlMm1XoT%2B5ZNDYD2Y6tQu2FC5E%2BCMvibT8Tzo%2B8kGmjUxk44RwIhR2GFowTRiu2SCoYd5oNx6T0josIMUWpkvOLmCJ1SkC0bTfDW1gpmeMTE6KSFTg0iTylDzCPakOdkptqvT%2BqbkEjFjDAotl6g0rjKZHE0l5yiENaF6HmYTTzn6IzSg8PIAoHrrZOlvuwYCR3tz%2BmeD4Ol3%2ByuNZm%2FeyvyTN3kA%2BqcWPGon0J28mUUKgXEtz5JSZ79iEQ4StZme3FXhXpruL7io%2FFyuECU7WaWpEPy79kzocR2J3yT1c5V7x7R9oqLKlSpM%2FW1A99lSISLs5RTvke3dBGm6Zd2fJErbbpgLvf6D4MulETvrSheP4NPLr%2BddISpdnuiAP4gTUT9kF4CfYO49ASrY5f0YuxcaM6zhLJ3Px%2BavL6ohB%2F8JeHvjDPB6SyS64hvvVnTscFH8nwSBFePCMvimvNvNMQBY0mgq%2BYtGXer0W8UuqfuNdx8O3TrcJ%2BvtXNrXBsuQo8V8KAwfmmx7S1rR1f6beelg%2FithSx2ULp5MacPxshNuvFzyQyS6f2Qjvo7tteeFaFcYf0c1wTbTOer11Sjge3d1lOkGj42HH6QZEf1nditT08ZRbqVGI2HxWLMe3oaMZCeLhE9wLn9cuUAF9sbOS%2Fj6EHTjQD4IA2FqFhN%2Blk08YJU8KmKUt4KcO2eJzgVpRznwKPtmCDTpg1iYo5YicAuBtFjwRmZ98igVOswrmE4Zwrx3M%2FP0aEL%2BxJh9z9RaJKziV5EPSKlWKZ053HlKmo%2BA52dWJYX1OLcMgTkpjrJ5DtIGnj%2BUCrpv1puBsCoRo3k7jnDDVThqTyfn2t2AOmFZtoIo577Wwm5gGw3aMx8kGLfT%2FQ74UQJVBXAs6cladVLSet5izeiu9xGrArtPJ2lnJkSXndFWNzX4zKvf0oBRE%2FLRug6sYgvldp%2BAPAILOMDQTP2NJxKM1O%2FxVmd1KHe4wSJ2ci246QWrG6AINeFCYHKftyCc3tUVqVqsoaMfpKTrHQTsKJaugNCwi2wFQNUV8T%2BAD6CyIh6pA1iXBtNyVN8sukt%2BMnzicRPC2mbvZB9odpgJ437PAA1xBU3QWTHs%2BqIcjlC4lHCmG5DbMbO080GI76pTiWwOe1bPOns5DPCJvsd6RyzQ%3D
1,https://produto.mercadolivre.com.br/MLB-1695656487-4-pecas-bico-injetor-palio-siena-uno-10-fire-10-8v-iwp065-_JM#position=2&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
2,https://produto.mercadolivre.com.br/MLB-1895498832-kit-4-bico-injetor-fiat-palio-10-13-15-96-97-98-99-iwp065-_JM#position=3&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
3,https://produto.mercadolivre.com.br/MLB-1860476604-iwp176-kit-4-bico-injetor-fox-gol-g4-g5-voyage-10-16-flex-_JM#position=4&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
4,https://produto.mercadolivre.com.br/MLB-1812880994-kit-4-bico-injetor-gol-saveiro-parati-16-8v-flex-iwp115-_JM#position=5&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
5,https://produto.mercadolivre.com.br/MLB-1812876585-kit-4-bicos-injetor-renault-scenic-16-16v-clio-16-iwp143-_JM#position=6&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
6,https://produto.mercadolivre.com.br/MLB-1931972340-bico-injetor-monza-ipanema-kadett-efi-18-20-alcool-novo-_JM#position=7&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
7,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Y%2FEAn3gRPP7f01q2k5fhUR3WxTG87pnuc0mdIM9DLIMuG36jMHnAJfZhjWIyYr0dqCmcoc48rHJ%2BEnKwcB%2FYEptcQJAAAEuDcWaq3dmGkevaW0AEGeIZmmmwFEh4cBZ8WNnxmd2NKwbVaBnQ7hal2bxD6CnOeSvEhFWj0Kzg3SKDd8PO0hw%2BO1ygCycZBw%2F8sAMTEylMRPOBS8WR2T2z4NZN33%2FYg97j3tjBXgvOT3q4dnykVfpNjekK9LTmw%2FMJ4cNkcMzk4tsPdvba3MPkK%2FsELittCdPnBc7YaZiA7B46xAI%2B4PSsTn%2BnQ%2BSBJs%2BPNbQlBzy8ENjjxF2In%2B8k4hfU5AoA24P9uDK04CfAierYtpjo%2B0Rs%2BibhOIL33K1eIhBsdib2FNcW0Rq0GHW6bhWw4FD9Gl%2B6bJTmue0mNjOGggG0FUNNalUa7x1EAToY6Y6bLsSzLYhzPnNA9Ef52lid89wWm0x5uTUob0np2MAZ0qBJYMPh3Z1YaUZQEoEp4Oj693X42sRfCKa9WXw%2BTyFwfYoHsZq9%2B2J6EyDZQDXZvdyMK6pM%2FEJyZpEBqwIDw2MIwlitK5fiAOll0rjKl6%2FuEfb2emhAJDyihAx2RTltOU%2Bk9trIn8ALvvDTU4ZnlvG1UTg2tily0Uq%2FjWYNI0dhnW3JT8VNmlqgCeDvh%2B8x34nML3i%2FT5M8Ft%2BL%2B9jFeaByVEyqeWip3ItR1O33ozM%2F8hvk%2FDjUAM5xzdY088%2FGdUcZSk%2FBxcYhuGlQTHCgbz81gSaYc4y5CphL5DiHQdcQfT%2BzyqFCivIHiUhBbSPlpF8ne30ISMXk6JJMSQJBRStDkK5PTVAB%2BCCFW0Naars%2BFb1o5ZKQfJ7xA87wQD68gQiAXfXRmauMHcuxEZPotl6djsLRQENCPCvbwlEj%2Fo8QBb%2Bqzx6o0EphwQlynebj%2BIskw6nY14f%2BEn6zSW2dSEJqrm1pCu4mEJf33Pmx9lpwtafnicFmPNhB2qevRzvxCxRk6sku5n21xiaxWAw%2FjFWYp%2BMXSscNn1FfVsj894aOB0iKvgmOUFWLJnzhS6aU4BtXbD5iO5KqnKKRaF1piTn7MB8ndA5N9fS9oMHkLt%2Fzk%2B5A%2FoPUwnr2RSPc7p0SbKjsINg5bKqksCuTxPzreHnHYeQifOVE7ECCYCK0B4DhZ%2B9fkBCeNU09V9LDeTMhKGyCFy22%2Fiumn1rhBjyZG1s8oVKwk2G8mNe6r%2FdKj2R%2FX%2BWOAg3NL39j6kg0DvTcFxeBVSLp4HZiWL8WSg66F6dyTt1a9A3xdEEz2ucLJ5YG4cxxMTlfZk3gTZ%2FOdATOS7kHiciUyILYHP6Ojld0PS9kB85urr1nT2qjZU0y5h8Pd0moFPkr7%2BTIUbrDaCZIDUWdYGwBzXfrU8AQs0ty2Ee97pDiF7hH3HFfrNcZl%2BsagYJzGAjy4Y4kQW8x5M2yZ5UMJ0XkBSWUfUoZY0b%2BCssdaTDVZLzVgtwWj9EjjgiL3UlqEpkGZ9x7qhToxsZrb%2F21foKyfW%2B3GcbvDMkeCXCZh8ChwBZqUAluEp%2FE%2FRo3ywhdKal92%2FTksF1YBGXTiCnE80EbEmDSlY%2FBQMNnReS9LTek11UlpNpgPJmYE4n0uN%2BZnjBiAdGw8bxM0eAaMnpCqQ3%2BuqTkarUJUXoF6HN%2B%2Bvyaklz6%2FaPv8e6FfbmJRuxKorKKGm1%2Fu%2FgNhlvZfBPij%2BSx0PoRJgIq0PhWkFmTSNwCo8xWRAmfjrfFXyULCwX9E6dozrQ2ZieNgRBpJBnF5W72mVWdbxhVquhbjchBuNyvTq%2B7WwvwLt9pcH01FF8uo14D9YX3BJUp8ONOpmmyE0GmvH2zDLQ4WHOHje2lpmXLd0fYcd0EGBz140TbUTT%2F84yMg6yC5XdjGYxvFCh2C5p8tiIG1OW71Qv4HhhXRwozY6qEyArXGQHzP5AcVtfKLyJKxEJ9EOfEH%2B1YHPIAHOBsS0cjzveD38tbxam96zlcYht61%2BHeZw8ubcbZuDuk%2FxAyKs4vMmB4kvKc11yFwSdPuRZ8eB64Cr4v9QtyxSgpft5x5wCzRI%2B%2Fg3cPHtAfmtjrF2U2TbzoItHMS89acxJSMw1EwQGiJgyJUeT7Mx2DBDXUImNz9iHHXHEmGInxvxxYeu5jNRmI0nZlBsMavkc39%2BbJXvAFrZFLIOaAJQ%3D%3D
8,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=acMhMYAud5yjSJwV7FxO7uwomKUE4u4lWqfhI1oDSQoN2%2FOaxyn4wNqrl6zOKESe%2BAUzkJOHuRN8FbIRmk3nFpuzLHZYN%2F0LyEw2qgi7zuxr8oMwANuOlR3qHjsufQiEkQqNv1leZBX9XPYAioeTDZEg%2FuthIkIXFIrGNvayW6x8ofyK3dJJmV91jUhw3OKWmKm1WwD7dMaVlS0%2F0Nu3HyHJDCjQQd6nr7VKjaEkPBkabs7ROvf2XcVJNoekFOrCdMvn%2Fsx8qMkjgGQfzExxEFiZgTFam2hrKy593ZdDgv%2Fs0e0PDWOtYIXYeKt6Sm9vZIgeEOj78OM5rrPr0shV9b6L%2F7GQ8PHUhhak80LfPMHES%2BLQMFPnJWFltfKUbUcjNtdMApIfU0c8TiNKKRusVJED1bfUYld9xjZ%2B26d70%2B3kpWHHOA4lZlO6YmiMTKTM0x6brq0KXOYJj3NVAOjTz6h7LU%2B1MfsArdf8Hw64%2B9QRCn2jq1s3oCVDxHajerrbTDHNhvYePzve1rECFFEfEBfHZ0bo1DJ4ctWOrmiNjJ01Jpbub8lWmn1zGmUFv6sllPj5cJLNlTreLWrP2h9%2Fquc35m69NICZf%2FRBq%2FrDMpYy6Ww%2BsGBxQLPJGfKipy9zJOwAPcxe82Gf1j20NPVWjdDsT6FNN9Oz8G4Ch%2BFk3kA9oJH14hISAZNjANgE%2BCTbO%2FtWipU2iPLM8Zc6R4hRdXR%2FJ%2FfwUrjiwN68TzCOobzDnI19aHKqBvglOZ%2FZbNvGbjOpmXzixZ%2BwadJClCvvYBMzFIb9oMsMCHjFkkWv0m61jgUQMwGVRhFqbcM%2FWVNSshBcIZFF6FQ72oS1Dth3gYBl02JfOBJPlXbNx7GwsJpk3ZjK4uINNKuNHRYItYR6ifNp9bmBD7gJ%2F9xJrmGlYLii8i5JG7ybYH0yYihooZPjZDgrWqXeIv4KCyreSUphYaOQ7ihpR50wF3FWHsPzrD8Cwy9AT%2FDQt2x7mNRSYWHYpozWmz%2F%2B6B6%2BT1AiF5ca4j5Wgs4Szo0r%2Bs26RGNYEx9OxrMcqgh7QHV%2BewddA9oOI4R76qlfMaxmOCegHamECsivZu2FGjrvzEczzxrE6NIKhSNdpwG0Z57BW4SkVlCpz8I8RclO%2BniVSaa%2BdyX2eiAvncZCGuwidmymUQFrcO9F2PGBNGGvsa1fE9L0Z9WwSICJkvfl%2BmVjYTFBfB0NPmLssm4iy913HrgJu0gwTQEg%2B1Lj7hd3PjPb94OEqaACCvOEwOulOkG3hbB%2FThZ1srzvDoyy7Rtox%2BLjN73VEBxsG4atc7dpJTIOoghGzjUWddjOk83%2BNQ4BNvTRwTcH13ChYGBUf64bvskEJpJwbgHd5b%2B6sjnTy20B7cHY6WK1SUpdvVrUfUN1Lec2KY46ixDaMWhWeitfJjgrpOOLqBMkPOukDtieUdmckphBBKhutBlFfbkyiQ99Y0TbPwyid6N3PRHSoNJiBoBj6K5jVA10JyiX%2BqtLRGsDNyFiCv16wq8A83uayHdqi4qy%2FPrZoOhjozaqTeE%2BnVS8ML1V8svxWrCpUEfvMyuH7hX184Kyx3xGbzmf2exIVvuuqrgD0lUX8Tfu7sg%2BFnYDu%2BpzNCX9CKtqgev6Ul1C9ovMIob0zr4DirJdM3mOokBkcsgyfol%2B2HeyKTIRghGAUYo0gTq0xKRXcKyWIjuxdGBLefZ9Xn%2FAWNS5o1JAsCZomhGY1JsJSPixSFxVS%2B8M1OxwfcQPxqBgjY6evWHBaLIBzlVuMM8M849eQn3bFsoJoBSB1iJRugWsS24GYmQUtqgMUFlmjoHH%2Fl75XJuE3%2Fpx3q%2FuYcItFFZK7m%2FDCrzSZoYbnMN4jxsAp6nLFQdDVh3V7w0H8XFLsqA3p2O5eWoUQQZLimE%2FMCgRdgFBvPjnhodYSGwycdFBZ%2B48XrELNLNNvj2gh6FtNzRc%2Fv5Nl3tTx17%2FfOmyLZwpbFQheXmgNkcJl1PgXqZaGXiTQiciMU6Iq9siNGXupe%2FpOAjg5OWvnE3E30ZAFm1N4V%2FiYUQgKFzOEPu0eZXNBTcScRvgGu9GlavH0n4eL8IFMBwtlj%2FGaSw2DCFV7psUxrjhsfhMp806g64dERaPuMBshCNK%2BWeLiMn3E8Vk741W2OhkDLSK8rwBshndzRc%2FFHrBTdbQ9bvOjhJR7OlwnGvjk8K3W%2F%2FPhxZWONNppAgY
9,https://produto.mercadolivre.com.br/MLB-1786298357-descarbonizante-car-80-original-kit-com-6-unidades-300ml-_JM#position=10&search_layout=stack&type=item&tracking_id=d6815641-d912-4087-a139-c6fa31fe808b
