,urls
0,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=t%2FmlmJnVszgNXjAkJO9goktNN48Tz8ImOJfn0CWJd78g4utP5pvqZw6SqYOkPd5bwB9nS2x%2BkxqRlXuo%2F8kGqB6Ey8BZP7uOLUZSGzUGSLzhMtZkoce1CP0fFlqDrV5rgQ%2BX%2BjFHESBde4%2FJRxtJF2%2Fkn9uYCBHeZ%2FRHMSzqkY1Z2CO8y7fR8wlywlTB4RGu026WP1pqf4qWKgtM9Y8BSFa1NZrPx3quhCDSu38hmKXCPwm6COXHb9QoSNAo0u9q3lF6KZBAvJP7wtiPVGp95HMJS%2BdysOKRj5CJ14qQICseOyW3xjDOANIJjK%2BQ08teExFPxwKnLzZVyyEPZlrxc1%2BA9Ji5tcwLvhPNdowK4G0g4PIsuCjW4xBJrdkCSUptGOwfSA3YNI4ZCg2ZRXdynDPjygeNhDTfq8QTTGonWBqLX8c3qEKh8x8isHMys4etozQn3j%2FnkMFNhevpCF2nKs3sluiEaiHvoxRQQ5iuxaOMzS%2F%2BHGH%2BTgVhU8aZPHuWo6%2B2BWo0xfjgFE%2BUm46wHduWohlpXCLFA3dj%2BF%2FVSkQbAcT4wNejvVIaVGtN5tbWsEVYRqyXrVLqMscjxtKKbp5XUqb149hzlxIkDKH3VyhhFy31Bea16QV6tNdq9tSBleQSxkeQ1bDvzZbhIEZwYzl4XTJjJtWOLI6%2Bvxl7nDuSN%2FOrWLMmXNxrb70VhobpQV%2FbtFKkQARiMMRoOENfUYpy%2BXkmkDuhXODfEojnklj0EHOFeXWMh3uYVp9Tpv3jumslKP2HhDUM0QiXqqcnxfCf%2FTR%2Bt0HXWycMQ%2FGFs88lgFszK7HeGshpmoOg71rS2pxpc7SnSsM0NqAbIffPg%2BFX%2BayojaNyAYWoWluTV1%2BwKExG2MlakPznUuxLuiDSssTZEqnrEpfYc%2FCxvuTdbm2B9OASwnZVTkYQ7ytflSsV7A2JSl4X5Zew%2Frap2dU%2FzZHmHbHZn8VWQoX%2BBcIkBH%2BgbOwiLNibVF9rlVloPPx4FZDJFlhikMdb7NGFATakUL5QUEWGOjXnoq0tTQ3kV2jzl5ZzjzF%2FH2BeUbYIP0Ga98tJr0nZ%2BnQAT0wM7cBt%2FI7ZMM7yZ6SjfATK6QL3RoGtrUN7M7VLHS1mhhjkjNF5MeeljxWto0wROVVfHdOHPjHqXrGyLB996BTqIaJfO2EExucTN%2F2EVIv2KlESNsQ22vqMf4t8J38T12SBUmB%2Fdhpf2cF6SXii6v0R2bJ9NuKCaBeNQZItG2OZFI9n0SsY4Bto5MYDZYqMP296HdtyHsiwZNYY8mY%2B%2FBBB5chwehbeZkiRI%2B7smMXDYHkvE7vCSZSFiWWp5JNL%2BfvSZlXelbEOr%2B0q%2BIMsC6AoAthQmfEa0MticPbXbwOTmrL6%2Bnmq%2FR31vigokQ9OzMpm7YaF8z7nUruMYkPVosBbBrs%2BRd6dn6LpyR9dhlT%2B7miOotzLGaIyljw0IkSCGpEaHq3tf%2FmJCmhc5eZuQiv%2FDgfJ9FJrs3xDG09gzobBX3FkrSRi%2FhenxedDhDRyMCU4XMjY%2F%2FD8C9bmg%2BrskSnSyRHO1WxO6MsnOB0dY383rzGjozx1OXeAdgZ5ZyU4ze5uAdGwS%2BP5EHZgISamG9Tt55S7HEygSqfyoe8BfZbdYJ%2BRwA7VXb5Ucn1fSPXYC%2FfrsUhpGwf%2By5oI6gaf8I3wBYxFXwCscGHUwvbrA%2BB20zObP1arP8xkkPE2QW6F8cbby4iM5WfoiYTWvr%2BOklg4bUZ%2B0cPkLvgM7nJkTDXoCrlz4i8RiQ6sG6dP%2BbFJ6mKKmXjJtla2a7P%2FnoICGSnqEcnL0w2biY%2BUmD9QZZXw7rcDdQWA9OQZb9SXlqu11p1GhbyylY3UyzO1hmYkOD2C6p2%2BfrNW2FB%2Be42qkwjz%2B2Ffed4V9BPllZ9UnYGYU%2BlYV2iMerd7ZDXjcYSFsoooH7oOvSWYWGsPbkOj6mZCLaYIqUBjxd5FTYKQAuq%2B7zY3T4hQUcaGkjmFDIx1RiUyyDLe%2B%2B7SAbrv0dtjR04MGsnSf4Pq99G%2BGHTS3%2FrLpze9cdefJHEDiq8EEGv6FlxcMlYBNZL3N%2Fbdq7yAVhIfRLvFXMRopYalwbYnojycSJolwqFxuERcDbd13P%2FSpBydRvwWCBChzFirnUr79HjOOX3T40ZQNoh4wVF11T54LjoEWhYL%2Bbm2FKP0tD0HQkC%2FYzClDaYFH%2FkpJEIo8%2F1B
1,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kvzjgUbjxnShRkayPdWCeo3oUajtrL%2BUWzL9OmRy9iNeY6D58Rs73yfFl5LLyzjc5eHi9MooJIPgTIddY702qNgg7eWUVVTqfX2rEYGaI4AdKLiFH7B5C4a6vqtHZr9zaE%2BNsCxx9dsnTzhWQXrK0c2bu2M4RYT%2BX%2FCd8f1lKHsr2aUHphSilqzFtSpj7hqT2sClP4%2BgMS%2BMl5iBPWewAynVT73Y38776vMK8Zs87mSWwS5hzFhbhC5HZe%2Fxzap2D4nGCKntLN%2BnKW5FrbGR1U0lzvPXWjXNTBpG9qDYJXwUpB0pCTFFDybG8%2FkI%2BzZyj1B8sW6IxKbuF29HpBwWcQEO4o26WNpjg%2Bj3qLkhULfZH%2FasHxP01pQUjthonNGM%2F5KES4K9gDfIOsv1Jr%2BQlnzvQkLbLMHgRLfSG6ZN4%2BwbU%2BENKwVghG%2FzshYM7QVjm5BQAtXaCWcgBlfQVY88E5foHnW3gVX317lCrzTLTbA1hei3RjcvrMlpoxFVY8s%2Fv4sZw62wVX83c1ImPDMSV8%2FeeHHAFUAbNelBmQgGzZEoALbvADCx0WOkERQy6fYBOa2fUXY38k%2BaGbxI%2FMlS1pYTSPo%2FkyNT6tRqXLUs4wU71CXgZZNvTUTjwlm3intsBZ%2FZBRZkvEN7N%2FnX5zcC4bZmF9YK6Owf8fG8Tj9xdZ1%2BEILZQAfNsjuEsJ%2F64Hec0nP6wJiE794Ki4ghEyMdig3N66Ec7uyvR4eUuZXsCEYMZ8HMhjKstXA98264%2FHeiCKkmmtj40ZAFXHRf%2BACKsyBqSMkTRb5no6Pwk1pjFWFBNre98jw8beied3gjU2AHnH5qr9ngBdBAi6AaywjmXcv6xNvugyCINuTYFAG5r47QUoxvnegtan5nt3%2BZmu5oqW9n5%2FYIjkyRVzH01kzpE3VKghHKH8kDNGyFEChm3Vr0AKVuzJUkHjeQDhzaWFIg%2FLML%2BxKT9jZlqptWBr3b1ueO7l2jFbxR0bJEciHjXWmTu5jJDvApOtD1mSnbBeNAxfoGdQeWHekJzxALqrMAedF63pny1%2B8RwRxhk0P6oB8lmlkK4qylqnWQj%2BLgqWTgna9HidSqk3LqYv18mmVjd%2BG6OfoHXMxB53EB5WZW2xw32xWMMn7uYM9anOMgQ8p93EGqgf%2BCEmDj%2FS9G6Gy6TITD3CqKymj827wvq89ZxJ9MY0B9lxfYLsmBkb6NSES%2BBWnMS4y%2Fd8LBv7UtaUcTJ%2Fxc0vC8vn9MT%2Bb%2BkjLADxIPpVCQ7Cb5eVXi%2FctuXs3xFAuj%2F5SOEAtonQPkUKvZxQol0pU%2BLp05vH8eqxGXzsEmM9j%2FYKYOoedXT8cQvoxZTmtjj6K6MydY7tULdjf%2BLHwhvKwJcjYfTqkzFoSFasj0cDu4jIg4svz4DJC0MYB4rvfglwop%2FR%2F3Az77kn6pToYOI8vBEvskFXYEQec%2FORYKL19aQloQQ%2FLfBtXaN64STOTsLeF9bIWXz90XZKpRW53H6JvVoRgK651g1KXeRT5XEyBrG4CwJQVl2JCtTIl0m2r0Q09JOfKWECJOB0XJqywRVnEuMRJVdnIF9pumFPgEasrRcXav8zSDh%2B7zOOtogB86dCjGX3g8UZReDLubdwgaXMDKsBlON8XNg181L8LMKwLq3vEKA4hY2bsEC%2Fky5KJafjX3d0KdsLDXjqkLE4sPgXKiZ1pNM2gpdjtJsP7sXf%2Fffg6NJmJunL6lZqGFZ%2BtSTDlZmimS1C3gCbGXRrtsBfqYqYL88%2BwIGJYXo8Ua%2BzdIkfMlOtLj%2B5wcW2LpjCI8NDqVx6r7MZ2%2F6HBVNm3NZJscGwvmjOYb81X51iPEKyFI8JF8Z%2FU8VGaEl9gVP0HNvDtWGkkww7%2FVQKc6GKGnaYIHsiJA1mWILR5Odr60E94mUAGec406Vjy4dO%2Fx8lzHvsdwIAjk%2FMw99qjcBzQUUk9i2Mhk0ubbOVkpCUm9n%2FRfPQKm3nNSxo4flJC%2Fd5WVQt%2BaE%2BmpDr2qBtosg10ZkPOEvU2X35G79Z2ogA7cTQrxUBkVnpkHvJ0rracHGM1QmlpKLyHety%2FFBH8R4flOat%2Bvhn8VnlBiPI0I%2FoGsK8TXMGiYjo0%2Bz6uIjgrYNdrzhcavaugHiKepZPMBHmE3RzbxzwUQrY55qBHYn88cRpWc0byTM5030PVf6IYGCZoVEUWPjd7x5ZXGxuSGQwW0e6q%2BAXVDE3fxalWWtzC0kvxJdmeA3dqgNw%3D%3D
2,https://produto.mercadolivre.com.br/MLB-1695656487-4-pecas-bico-injetor-palio-siena-uno-10-fire-10-8v-iwp065-_JM#position=3&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
3,https://produto.mercadolivre.com.br/MLB-1895498832-kit-4-bico-injetor-fiat-palio-10-13-15-96-97-98-99-iwp065-_JM#position=4&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
4,https://produto.mercadolivre.com.br/MLB-766795270-bico-injetor-ecosport-focus-20-16v-flex-duratec-0280158162-_JM#position=5&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
5,https://produto.mercadolivre.com.br/MLB-1860476604-iwp176-kit-4-bico-injetor-fox-gol-g4-g5-voyage-10-16-flex-_JM#position=6&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
6,https://produto.mercadolivre.com.br/MLB-1053725687-bico-injetor-bosch-nissan-tiida-livina-18-flex-0280156418-_JM#position=7&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
7,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=4AtGpB%2Foz1kPqqiKrRke3e6FWFcLVHPpl19mUDbVj6fw6qrhrUAtaCaVywhCdjxshqPJfbVz13QAQ%2Be8fSdNyYTOSFMAIWNFHktrmTEcZnWM2RZ6%2Bsn9gpDPS%2Fy4krvjYm5vn3AZD9scgx2TyECkvwUDoTz6fbiD0zRZdcWQ75SpuYYwLpAi9CU0rUjM8qsDW5tqIEzvRxve%2FnsZXoRoGAvcUSjZeDZQIDlpucN50%2FNVN3k0Vge5zgEla6sqiqLdQ2kElVDczPAj1uhplGOB87GbDETAhbe2NfLRwZWcITny5S%2FI%2Bzb4eUsSWmVTa8aL9T4mzkHvYeRbW%2BD7RCHB5GDoVmbbE09K7OpVF57OJZdkpeo71apBdP5dzuT6%2Fflq984%2B5yUqHpnhs0uToowAElBbVteku%2BQVNolgqbZaoQeAIyktBcqZPE1tNBLJ09XlzYdaS0evBMz2D7lGynnNq7FGKsFa2mjR9Mn7gYY8uW0hruBARNud3IdV8GRHosDfzye1gmEeRU8r%2F4K83nmnCkTJV7wsXnlrXCEC0lyfeY%2BioHDZkJLMIiGvwve2ky3WYhydHQYeDA6V1CM1jMkgR%2BJB4QCVcqDyfWK7s1fCgi5WYhjNMaYNVcaah43TWfqmpt37yFWjQVZhGIxIT52G1mLvM77KF%2BG3U9FW1S5jKISwkAU8sSIKNCcum5OUIoSzTqj1IPTMzv%2BhQeZbYddXvxch65413jGqraKcc2CT%2FXBfqo7%2Bb4O8SRLQlScHbVJ8RtuLm8ONNA%2FkdU3CALQeYn9NCyk3fHD17jcED4bP6xxHW2rfKF8Gun5WlcB8PJxlmw6rVp15ndmEtUkdfVJz%2BW3auqruxixj8VPvLO1BWsGlawwD85SV5RNBeobfUKFfTOj3oBwAIWCw8Zf72wqBs0qgblxr%2BN6RcYg0djtoTmFQ2kXaeZFDvIzilFExz4QYb4l%2FWDJtKNpFwf2Sq8S1nBvNc1ZEyswfgoTIwCdjwO1%2FweKJ4x3FDRNewfvBFqpg%2FEGMUD0aFhPRRUlukSrz5zjO8FqL7245f9DNo4IF5OdnD4eZbLUzs%2FJxHJJrVSC7yk1FEDXN67QhoNAzvhZ838kBPqIP7AObKNFlsdnkuJQESPnyhAihmdFrjjsqwPWrXMauXOlnuCb0pZQyi%2FKKaGbAi2BWQ%2BtDJgA0jmzC1cL8HBQfHtHg%2B%2B7negyV9%2BwkqBDl%2BYtmq3UkubKNcMbrWKioaNntG1slVMEpJw1bYWsBT7iOtCruWWmTPqTmExp%2BkgM3X4exq3OPwD0kAP12GwfbshRQQNDUt6jLeIQxqP6x30OWEEWKYDcu%2BwM99izlkxRfwaxUL12ss39EqevukydJpv4I11skFSZnhuoBNzietMaPBhaJm4BVcMsD7jKvtWknUutj11uJoh4KUWPW%2FfpNX8gsw%2FEgt%2B9qL4r8RjRs7HEUU3rWegJbV6AQNRTScOsQcGZbQACucwAhlzie2dz3i7AAYed1mG7TwqhqKbnycdJ93vjFgUpjXh3suvSBGQm%2FjAcSgb%2FJeDCDZlBWopVBc%2BUWZ%2B1Cl8iNiR6oPEzwqEhN4MWZ2ySwD6ZnWb8hj4eFYd9OftMEZsePYShefxQUCXeCHwyew%2FSh%2FvPENOSDGYGfVGOBEhUebMaD52kdtQrPtlRACjhrcIEAxi2NJVt6WMdNrou%2B%2Fqr26LrbEW%2BK9aRHQmH7sdRaW8bg5zjjNEX3YBz47%2BmN1Eu1k9LDUgfhaMgFqSnXvwMMJzqjl8mmA4XuyXwQxfL6TlNSDyQcKahTkkfjuKTKNxkJm3NXjCObyWBYVHIfNOUcbqso%2BV2TPZ1pYbdJaXEY8FV%2B45Tno6VVbzyaEuS79MGr%2FCv%2BGk7ND7Sqht4JzYBn26W%2BJjdEZhLmTy18RAJmv0NkM28lrSf8WIVP6IWVcajJqr%2BHrvQuNsHmugVPTJ5Z1JofBjMHc8%2BUsTq9D7W7FOYq%2F8iYkyq9lPGmnHmYe7TkIEuSSBR5mSxWqHBKlJEiIJNISez43%2FPz1hQOYAr1svDSVAxpju3%2B1b7GFeQh465N2AU1RZHxHaq3BoafVRzMUO0%2FYSHqq81f0qGo4H5hjdfror6%2B8x4nsZBtc6%2FxE7uY8Z58UKTQOhpDB54bfaYni451XRzNLZTPRp%2Fbif3MLlYYggNehyNoygAN6VybtTYioDEHpD6DvyIQMThHs0DExF5sIZWg%2BBisSCS%2BgK6h7OMt
8,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lLDJsk0obFAcblfsZZQ7sUJzj7WWXY28OF7SJaJEb5cHkwhYYAU05xjkN9%2BcctjgbRq3GcrEkIpYFz3NkQkgRIsmVGc%2FiaBYWPw2YtAP0FrA0ZPwqcZlt9HYlgVLlNQxDCOJuaMholXpJyB9gFTKaVIxyppBfkZhJGvGxakpOmHJBuOE0fUebrZEXEqKJb8TJBvIn2b9ulb5aMXKDzybkPgSdT8uADbKRlfWN8G3LOBTH%2FUr%2Fjbp5Aq2qM9Nbq%2Fs9qaEI37NmvehVVWgGZzEEXOeaWoGgyBh%2BN2XMPjHE7zeJrSYuShYadxAqd1sLniBS%2Bj0H9AOil7mb9PlKUuH9cygfwO4UZVtuEj46vw0AFXSg3jE4v7l%2BnBFYSneg7tpYAOURu9vEy9OMUZNAe68M3YVrqpqFfeU%2FvoscJ180sreE%2BCEMWl%2B6RKBjsXgAY9BoXKigKB%2F7LdOMxuPVmhf3Kky3opwPlI5x%2FzgqLszO3sCJJgSORw7ehqHO1Pm1PCNCFqObfEQfsANKbm%2F98uJ9OzHko2V7MNQMzMCg6n%2BDIolSdUxyXbTWaj0uWSnE1r9HUo5UbktrOgMpS9Yadn17aYfuRK0aXpbN9DbEdAb4Mck8zP%2BN1nHR5wp7eeS%2BeCGkuRmB4w88%2FKlSwavKV0tsAfI6oId319ok%2BBp%2FrHZSPIELZudvUF50xrfU7m5wHkSMa8bE3N0L%2F7UiMXPlTmf5p5aJmF%2FP9tFu9wRy2jHl66M1wu%2FjzAIrpRcwED1WQ80MqSVVRxlmpQfYnuKQFW2aFXi1qbyQlLGSdGpgPLaGIeHI6hM%2Fbo2EM8Yjt5exqRBRTljbOLJXnj9oXKRuRrai0cwBz0wCleWMXuhDDqGb9ov9R9KD9nk2bZLrJ2GutKELvsCWuFYn3GCNPre68t%2F31KhtJrYNzlhF9V5KVA3bMoRwbRBNw9PNJLTKFfdvWZZNpZG1fKfa66rSzpLpM31dAa1wXbQXKPLtdeewtQVG2hWxX3YUW0RScFL8V5NmS1UKHP6Hlir%2B%2BU3OrXcE9Ny%2FLE2lscKjRuHfshWfp6PRBE1GkEK7xe4MmcdSYmx28XZkpjdJGFjipAGbBxUq2sM%2BBbmo43JPBtm2PSJr2Bt5%2FIyegw1DlNrcV02lx5Ccaz5Jv9OI3I5k4ZqRjoLEZWC2I4Oa%2B%2BMG8sJ2qa2kB6QQOUybUyOxFELAgKmyi1Ef9AcRmOHfa%2BNfw9S2uty2xdQzKrSU0eGJa97jfxrMD6YCbREBrzHzA7louu%2FxdeCMhxpUO2cnjhdUePzNuSQ6iK%2BvGFHBaTFu7ZyF5kMk4xG7no6C6Xt3X0vq%2FaYnlm8WdW0vGqW6PqgtDqLyfI54q9YL0X6py2lOC1fgX1KRVT7CT4zG5DnU4t%2BPVtKyJiNBugNZ5FPfquT4xz5XEx9h2azdQc4yDlmZwcTVXy%2F1hMh5U%2F2chlsDSQAl2ILduUjhrb1O93eQ1SfmtbU5b2S0%2FIgIwxmShEZoYbe9UnM9K2s2TTrQZjkfpS96iIPuFhzK3rz5yYW5WdELLjMmazg%2BcnglqR4Z2gQRKmBO2J1ZZWFceayh98owkN2d5Ap9nAKO1exEIZkzHDje2Kq9okpTAheykES2CY0qxEkpt1XQXz%2B07p5bmz%2BR7%2FY5HXuEnps9I60jrZ%2FfUbWIZJpQilwnBrS2OposfQnUGtcjkuh2%2FybD2a5frE0a3y6%2Fj4wjL9l6LyMkIUaR9bsKX0dJr7RUPmlcEGhfT6bEA4oGJITCMjIMBb1a%2BcsJvwmYAO7ErBxn%2BPbaWeLLN7N1mBAJq6Q6LArbVcQ8tI%2Fk0NFiDIVjl6Oq1%2BIjlACxH%2Fy2gNVeYOh6SO08OeSZybGwjkWYJGID%2Bi02rMaPxNlplR3XSypOTIirkmYJO0DFGFuFfgZggmTFpdd3lSrKs5lvZEFtGwTQAYH74HI%2BDUHrqA4ZH68E%2BITVKOxlepzYehwhn9ZJT%2FnozC0NrzP9bzRJmzcufkRMFKMY3nf25gkFJeIETgN0vxszIEpO18BN1DpcnGiFVMou4agBUmGHtMN7Hqp%2BWtzOUPK%2FX%2BSfcNu7rS9Ve9BiLNEIwCz6CqqeOfuw3LKAMWwthxUcFVL1B1Sf%2BMZk8sRexh0YTX2zMlADZiDRJMovTK7oolDpFbP%2F6V2f5DC19haA623iI7Y7Rkk4%2BGdiEH2LkcW%2BdJ3h0XS62XI3rppIjy3yFY911ARpUN6%2F8Q%3D
9,https://produto.mercadolivre.com.br/MLB-1812880994-kit-4-bico-injetor-gol-saveiro-parati-16-8v-flex-iwp115-_JM#position=10&search_layout=stack&type=item&tracking_id=902b106b-1b77-423f-a6ef-d59ae161c78b
