,urls
0,https://produto.mercadolivre.com.br/MLB-1984189366-kit-ponteira-oring-pinjelmpfi-ds1218-ds-_JM#position=1&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
1,https://produto.mercadolivre.com.br/MLB-1984213921-kit-ponteira-oring-pinjelmultpoint-ds1219-ds-_JM#position=2&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
2,https://produto.mercadolivre.com.br/MLB-1973507145-kit-ponteira-oring-pinjelmpfi-ds1218-_JM#position=3&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
3,https://produto.mercadolivre.com.br/MLB-1973510733-kit-ponteira-oring-pinjelmultpoint-ds1219-_JM#position=4&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
4,https://produto.mercadolivre.com.br/MLB-1951013806-kit-ponteira-oring-pinjelmpfi-ds1218-_JM#position=5&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
5,https://produto.mercadolivre.com.br/MLB-1950857599-kit-ponteira-oring-pinjelmultpoint-ds1219-_JM#position=6&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
6,https://produto.mercadolivre.com.br/MLB-711572394-conjunto-pisto-injetor-cw-028-coodispal-opala-_JM#position=7&search_layout=stack&type=item&tracking_id=bc64abd4-febf-409b-895a-462584e25b5f
