,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807067-velas-ignico-mitsubishi-colt-18-16v-140cv-gasolina-1995-_JM#position=45&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807068-velas-ignico-honda-civic-16-16v-127cv-gasolina-1996-_JM#position=46&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807071-velas-de-ignico-fiat-stilo-24-20v-167cv-gasolina-2006-_JM#position=47&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807074-velas-ignico-peugeot-106-10-8v-50cv-gasolina-1996-_JM#position=48&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807078-velas-ignico-mitsubishi-galant-20-16v-137cv-gasolina-1995-_JM#position=49&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807079-velas-de-ignico-kia-carens-18-16v-126cv-gasolina-2004-_JM#position=50&search_layout=stack&type=item&tracking_id=4cf5062d-49c4-4995-9d4c-8143702819b3
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807081-velas-ignico-peugeot-306-18-16v-117cv-gasolina-2003-_JM#position=1&search_layout=stack&type=item&tracking_id=5bc84788-e699-425e-9292-a5688e674070
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807082-velas-de-ignico-vw-bora-20-8v-115cv-gasolina-2005-_JM#position=2&search_layout=stack&type=item&tracking_id=5bc84788-e699-425e-9292-a5688e674070
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807083-velas-ignico-peugeot-405-16-8v-88cv-gasolina-1994-_JM#position=3&search_layout=stack&type=item&tracking_id=5bc84788-e699-425e-9292-a5688e674070
9,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897807090-velas-ignico-nissan-primera-20-16v-116-125cv-gasolina-1994-_JM#position=4&search_layout=stack&type=item&tracking_id=5bc84788-e699-425e-9292-a5688e674070
