,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806106-velas-ignico-renault-clio-g2-10-8v-59cv-gasolina-2001-_JM#position=42&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806107-velas-ignico-subaru-impreza-20-16v-116cv-gasolina-1995-_JM#position=43&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806109-velas-ignico-peugeot-306-18-16v-100cv-gasolina-2007-_JM#position=44&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806110-velas-ignico-seat-cordoba-vario-16-8v-100cv-flex-1999-_JM#position=45&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806114-velas-ignico-subaru-legacy-20-16v-116cv-gasolina-1999-_JM#position=46&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806115-velas-ignico-suzuki-baleno-16-16v-98-101cv-gasolina-2004-_JM#position=47&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806116-velas-de-ignico-vw-passat-20-8v-115cv-gasolina-2004-_JM#position=48&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806118-velas-ignico-renault-scenic-g1-20-16v-140cv-gaso-2002-_JM#position=49&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806119-velas-ignico-peugeot-partner-18-8v-90cv-gasolina-2002-_JM#position=50&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
9,Vela Ignicao 5581001 Escort 1989 1990 1991,"R$60,49",Novo,0,Ford,Não tem linha,Não tem modelo,LC5581001,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1729944904-vela-ignicao-5581001-escort-1989-1990-1991-_JM#position=14&search_layout=stack&type=item&tracking_id=d926d47f-2994-4928-b05b-45436ae969b3
