,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806153-velas-ignico-renault-clio-g2-10-8v-59cv-gasolina-2003-_JM#position=21&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806154-velas-ignico-subaru-vivio-07-8v-44cv-gasolina-1993-_JM#position=22&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806155-velas-ignico-suzuki-jimny-13-16v-82-86cv-gasolina-2008-_JM#position=23&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806156-velas-ignico-renault-clio-g1-16-8v-90cv-gasolina-1999-_JM#position=24&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806157-velas-ignico-suzuki-baleno-16-16v-98-101cv-gasolina-1999-_JM#position=25&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806158-velas-ignico-peugeot-partner-18-16v-90cv-gasolina-1999-_JM#position=26&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806159-velas-ignico-renault-clio-g2-16-16v-110cv-gasolina-2001-_JM#position=27&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806160-velas-ignico-toyota-corolla-16-16v-107-110cv-gaso-1999-_JM#position=28&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806161-velas-ignico-volvo-s40i-18-16v-115-122cv-gasolina-1997-_JM#position=29&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
9,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806163-velas-ignico-vw-passat-4motion-20-8v-115cv-gasolina-2002-_JM#position=30&search_layout=stack&type=item&tracking_id=08d66281-a253-43eb-bffb-a76351c8de74
