,titulo,preço,condição,qntd vendida,marca,linha,modelo,numero_peça,qntd_velas,url
0,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806090-velas-ignico-renault-logan-16-16v-107-112cv-flex-2009-_JM#position=32&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
1,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806092-velas-ignico-renault-clio-g1-16-8v-90cv-gasolina-1996-_JM#position=33&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
2,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806093-velas-ignico-mitsubishi-space-wagon-20-16v-133-137cv-1998-_JM#position=34&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
3,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806095-velas-ignico-seat-cordoba-vario-16-8v-100cv-flex-2000-_JM#position=35&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
4,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806096-velas-ignico-peugeot-405-18-8v-100cv-gasolina-2002-_JM#position=36&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
5,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806097-velas-ignico-peugeot-605-30-12v-167-170cv-gasolina-1993-_JM#position=37&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
6,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806098-velas-de-ignico-vw-bora-20-8v-115cv-gasolina-2008-_JM#position=38&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
7,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806101-velas-ignico-renault-laguna-g1-20-16v-139cv-gasol-1997-_JM#position=39&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
8,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806102-velas-ignico-peugeot-806-20-8v-147-150cv-gasolina-1994-_JM#position=40&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
9,Não tem titulo,não tem preço,Nao tem condicao,Não tem qntd de vendas,Não tem marca,Não tem linha,Não tem modelo,Não tem numero da peça,Não tem quantidade de velas,https://produto.mercadolivre.com.br/MLB-1897806105-velas-ignico-renault-safrane-30-12v-167-170cv-gaso-1992-_JM#position=41&search_layout=stack&type=item&tracking_id=4464d1e6-41f9-4ec0-8e31-dc607af7a181
