,id_anuncio,url,titulo,preco,condicao,qtd_vendida,marca,modelo,numero_peca,status
197,MLB1907830814,https://produto.mercadolivre.com.br/MLB-1907830814-sonda-lambda-gol-g4-g5-fox-polo-kombi-e-voyage-novo-original-_JM#position=23&search_layout=stack&type=item&tracking_id=9b0ea5fb-4e2e-4d25-88f4-9057a7177894,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo Original,R$214,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo Original,0,Volkswagen,,,FAZER
198,MLB1907850338,https://produto.mercadolivre.com.br/MLB-1907850338-sonda-lambda-gol-g4-g5-fox-polo-kombi-e-voyage-novo-_JM#position=24&search_layout=stack&type=item&tracking_id=9b0ea5fb-4e2e-4d25-88f4-9057a7177894,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo,R$214,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo,0,Volkswagen,,,FAZER
199,MLB1946768490,https://produto.mercadolivre.com.br/MLB-1946768490-sonda-lambda-a3-golf-polo-tiguan-up-ymx30071-_JM#position=24&search_layout=stack&type=item&tracking_id=cb0326b9-946a-4d44-8924-b9909ccd6aa1,Sonda Lambda A3 Golf Polo Tiguan Up (ymx30071),"R$221,25",Sonda Lambda A3 Golf Polo Tiguan Up (ymx30071),0,Ymax,,,FAZER
200,MLB1902589000,https://produto.mercadolivre.com.br/MLB-1902589000-sonda-lambda-gol-g4-g5-fox-polo-kombi-e-voyage-novo-_JM#position=10&search_layout=stack&type=item&tracking_id=65bbbb8d-6bcb-43b6-bb2b-6ee3536be478,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo,"R$214,27",Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo,0,Volkswagen,,,FAZER
201,MLB1896551832,https://produto.mercadolivre.com.br/MLB-1896551832-sonda-lambda-gol-g4-g5-fox-polo-kombi-e-voyage-novo-original-_JM#position=11&search_layout=stack&type=item&tracking_id=65bbbb8d-6bcb-43b6-bb2b-6ee3536be478,Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo Original,"R$214,27",Sonda Lambda Gol G4 G5 Fox Polo Kombi E Voyage Novo Original,0,Volkswagen,,,FAZER
202,MLB1927820619,https://produto.mercadolivre.com.br/MLB-1927820619-sonda-lambda-toyota-corolla-20-2015-2016-2017-2018-_JM#position=3&search_layout=stack&type=item&tracking_id=1ca3c183-9085-4f10-a335-90191a0af8b4,Sonda Lambda Toyota Corolla 2.0 2015 2016 2017 2018,R$220,Sonda Lambda Toyota Corolla 2.0 2015 2016 2017 2018,0,Motors Vans Carros,,,FAZER
203,MLB1082864721,https://produto.mercadolivre.com.br/MLB-1082864721-sonda-banda-larga-2-fios-pre-catalisador-suzuki-_JM#position=27&search_layout=stack&type=item&tracking_id=002fd9c8-4503-4e8d-a74e-82a0334ee6c2,Sonda Banda Larga 2 Fios Pré Catalisador Suzuki,"R$227,92",Sonda Banda Larga 2 Fios Pré Catalisador Suzuki,0,Não tem,,,FAZER
204,MLB1082855710,https://produto.mercadolivre.com.br/MLB-1082855710-sonda-wideband-2-fios-pre-catalisador-mercedes-_JM#position=28&search_layout=stack&type=item&tracking_id=002fd9c8-4503-4e8d-a74e-82a0334ee6c2,Sonda Wideband 2 Fios Pré Catalisador Mercedes,"R$227,92",Sonda Wideband 2 Fios Pré Catalisador Mercedes,0,Não tem,,,FAZER
205,MLB1082846224,https://produto.mercadolivre.com.br/MLB-1082846224-sonda-1-fio-pre-catalisador-gmc-_JM#position=31&search_layout=stack&type=item&tracking_id=002fd9c8-4503-4e8d-a74e-82a0334ee6c2,Sonda 1 Fio Pré Catalisador Gmc,"R$227,92",Sonda 1 Fio Pré Catalisador Gmc,0,Não tem,,,FAZER
206,MLB1082854040,https://produto.mercadolivre.com.br/MLB-1082854040-sonda-wideband-1-fio-volkwagen-_JM#position=32&search_layout=stack&type=item&tracking_id=e711977e-9428-4a35-bafa-aa8968266791,Sonda Wideband 1 Fio Volkwagen,"R$228,92",Sonda Wideband 1 Fio Volkwagen,0,Não tem,,,FAZER
207,MLB1082842499,https://produto.mercadolivre.com.br/MLB-1082842499-sonda-wideband-5-fios-pre-catalisador-toyota-_JM#position=33&search_layout=stack&type=item&tracking_id=e711977e-9428-4a35-bafa-aa8968266791,Sonda Wideband 5 Fios Pré Catalisador Toyota,"R$228,92",Sonda Wideband 5 Fios Pré Catalisador Toyota,0,Não tem,,,FAZER
208,MLB1946763826,https://produto.mercadolivre.com.br/MLB-1946763826-sonda-lambda-mbb-ymx15403-_JM#position=29&search_layout=stack&type=item&tracking_id=0a968e1c-e897-477e-a806-be08d0b80a4c,Sonda Lambda Mbb (ymx15403),"R$242,38",Sonda Lambda Mbb (ymx15403),0,Ymax,,,FAZER
209,MLB1946764729,https://produto.mercadolivre.com.br/MLB-1946764729-sonda-lambda-c3-c5-xsara-peugeot-307-ymx25580-_JM#position=30&search_layout=stack&type=item&tracking_id=0a968e1c-e897-477e-a806-be08d0b80a4c,Sonda Lambda C3 C5 Xsara Peugeot 307 (ymx25580),"R$242,38",Sonda Lambda C3 C5 Xsara Peugeot 307 (ymx25580),0,Ymax,,,FAZER
210,MLB819905691,https://produto.mercadolivre.com.br/MLB-819905691-conjunto-canos-e-coneccoes-jac-refine-2013-_JM#position=13&search_layout=stack&type=item&tracking_id=fe04fded-b3b7-466f-857d-8de13474d9bc,Conjunto Canos E Coneccoes Jac Refine 2013,R$240,Conjunto Canos E Coneccoes Jac Refine 2013,0,Não tem,,,FAZER
211,MLB1080793673,https://produto.mercadolivre.com.br/MLB-1080793673-sonda-original-2-fios-acura-_JM#position=50&search_layout=stack&type=item&tracking_id=59977464-9e48-4881-a5b8-a0a076eea48d,Sonda Original 2 Fios Acura,"R$244,94",Sonda Original 2 Fios Acura,0,Não tem,,,FAZER
212,MLB1080812911,https://produto.mercadolivre.com.br/MLB-1080812911-sonda-banda-larga-5-fios-pre-catalisador-gmc-_JM#position=1&search_layout=stack&type=item&tracking_id=3b20331b-eaaf-43c7-a99c-07d6c03b953f,Sonda Banda Larga 5 Fios Pré Catalisador Gmc,"R$244,94",Sonda Banda Larga 5 Fios Pré Catalisador Gmc,0,Não tem,,,FAZER
213,MLB1077763197,https://produto.mercadolivre.com.br/MLB-1077763197-sonda-banda-larga-4-fios-pre-catalisador-toyota-_JM#position=40&search_layout=stack&type=item&tracking_id=e0641f75-2fd6-4404-bd5e-71c51f7a7e8b,Sonda Banda Larga 4 Fios Pré Catalisador Toyota,"R$245,93",Sonda Banda Larga 4 Fios Pré Catalisador Toyota,0,Não tem,,,FAZER
214,MLB1077717363,https://produto.mercadolivre.com.br/MLB-1077717363-sonda-3-fios-pre-catalisador-volvo-_JM#position=43&search_layout=stack&type=item&tracking_id=e0641f75-2fd6-4404-bd5e-71c51f7a7e8b,Sonda 3 Fios Pré Catalisador Volvo,"R$245,93",2 vendidos,0,Não tem,,,FAZER
215,MLB1080789018,https://produto.mercadolivre.com.br/MLB-1080789018-sonda-wideband-4-fios-pre-catalisador-citroen-_JM#position=33&search_layout=stack&type=item&tracking_id=ee70d91a-b6d5-4d55-9c52-e728085a745b,Sonda Wideband 4 Fios Pré Catalisador Citroen,"R$246,94",Sonda Wideband 4 Fios Pré Catalisador Citroen,0,Não tem,,,FAZER
216,MLB1077783017,https://produto.mercadolivre.com.br/MLB-1077783017-sonda-original-5-fios-pre-catalisador-renault-_JM#position=2&search_layout=stack&type=item&tracking_id=cb91a169-292e-467d-8e0d-f229a2b3a35f,Sonda Original 5 Fios Pré Catalisador Renault,"R$247,93",Sonda Original 5 Fios Pré Catalisador Renault,0,Não tem,,,FAZER
217,MLB1080782805,https://produto.mercadolivre.com.br/MLB-1080782805-sonda-wideband-1-fio-gmc-_JM#position=4&search_layout=stack&type=item&tracking_id=cb91a169-292e-467d-8e0d-f229a2b3a35f,Sonda Wideband 1 Fio Gmc,"R$247,94",Sonda Wideband 1 Fio Gmc,0,Não tem,,,FAZER
218,MLB1077761551,https://produto.mercadolivre.com.br/MLB-1077761551-sonda-banda-larga-1-fio-mini-_JM#position=12&search_layout=stack&type=item&tracking_id=cb91a169-292e-467d-8e0d-f229a2b3a35f,Sonda Banda Larga 1 Fio Mini,"R$247,93",Sonda Banda Larga 1 Fio Mini,0,Não tem,,,FAZER
